name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Slug,Central-America,Animalia,Mollusca,Gastropoda,Unknown,Unknown,Unknown,Unknown,"worms, snails, carrion",Unknown,Unknown,Unknown,Unknown,Unknown,Land slug,3-6 months,"gardens, foliage, wood and debris",Omnivore,Unknown,Unknown,Slug,Unkown,Worldwide,Unknown,Unknown,BrownGreyBlackGreen,Smooth,0.19 mph,2 years,Unknown,0.5-5 inches,1 year,Unknown,500 per year,"birds, reptiles, insects",gastropod,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,6.25
Slug,Eurasia,Animalia,Mollusca,Gastropoda,Unknown,Unknown,Unknown,Unknown,"worms, snails, carrion",Unknown,Unknown,Unknown,Unknown,Unknown,Land slug,3-6 months,"gardens, foliage, wood and debris",Omnivore,Unknown,Unknown,Slug,Unkown,Worldwide,Unknown,Unknown,BrownGreyBlackGreen,Smooth,0.19 mph,2 years,Unknown,0.5-5 inches,1 year,Unknown,500 per year,"birds, reptiles, insects",gastropod,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,6.25
Slug,Europe,Animalia,Mollusca,Gastropoda,Unknown,Unknown,Unknown,Unknown,"worms, snails, carrion",Unknown,Unknown,Unknown,Unknown,Unknown,Land slug,3-6 months,"gardens, foliage, wood and debris",Omnivore,Unknown,Unknown,Slug,Unkown,Worldwide,Unknown,Unknown,BrownGreyBlackGreen,Smooth,0.19 mph,2 years,Unknown,0.5-5 inches,1 year,Unknown,500 per year,"birds, reptiles, insects",gastropod,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,6.25
Slug,North-America,Animalia,Mollusca,Gastropoda,Unknown,Unknown,Unknown,Unknown,"worms, snails, carrion",Unknown,Unknown,Unknown,Unknown,Unknown,Land slug,3-6 months,"gardens, foliage, wood and debris",Omnivore,Unknown,Unknown,Slug,Unkown,Worldwide,Unknown,Unknown,BrownGreyBlackGreen,Smooth,0.19 mph,2 years,Unknown,0.5-5 inches,1 year,Unknown,500 per year,"birds, reptiles, insects",gastropod,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,6.25
Slug,Oceania,Animalia,Mollusca,Gastropoda,Unknown,Unknown,Unknown,Unknown,"worms, snails, carrion",Unknown,Unknown,Unknown,Unknown,Unknown,Land slug,3-6 months,"gardens, foliage, wood and debris",Omnivore,Unknown,Unknown,Slug,Unkown,Worldwide,Unknown,Unknown,BrownGreyBlackGreen,Smooth,0.19 mph,2 years,Unknown,0.5-5 inches,1 year,Unknown,500 per year,"birds, reptiles, insects",gastropod,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,6.25
Slug,South-America,Animalia,Mollusca,Gastropoda,Unknown,Unknown,Unknown,Unknown,"worms, snails, carrion",Unknown,Unknown,Unknown,Unknown,Unknown,Land slug,3-6 months,"gardens, foliage, wood and debris",Omnivore,Unknown,Unknown,Slug,Unkown,Worldwide,Unknown,Unknown,BrownGreyBlackGreen,Smooth,0.19 mph,2 years,Unknown,0.5-5 inches,1 year,Unknown,500 per year,"birds, reptiles, insects",gastropod,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,6.25
Snail,Africa,Animalia,Mollusca,Gastropoda,Achatinoidea,Unknown,Unknown,Achatinoidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Well-vegetated areas,Herbivore,200,Unknown,Snail,1000.0,Worldwide,"There are nearly 1,000 different species!",Unknown,YellowTan,Shell,Unknown,Unknown,0.01kg - 18kg (0.02lbs - 40lbs),0.5cm - 80cm (0.2in - 32in),Unknown,Unknown,Unknown,"Rodents, Frogs, Birds",Unknown,Unknown,"Armoured shell with long, thin eye stems",Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Fruits, Stems",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9,42.5
Snail,Antarctica,Animalia,Mollusca,Gastropoda,Achatinoidea,Unknown,Unknown,Achatinoidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Well-vegetated areas,Herbivore,200,Unknown,Snail,1000.0,Worldwide,"There are nearly 1,000 different species!",Unknown,YellowTan,Shell,Unknown,Unknown,0.01kg - 18kg (0.02lbs - 40lbs),0.5cm - 80cm (0.2in - 32in),Unknown,Unknown,Unknown,"Rodents, Frogs, Birds",Unknown,Unknown,"Armoured shell with long, thin eye stems",Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Fruits, Stems",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9,42.5
Snail,Asia,Animalia,Mollusca,Gastropoda,Achatinoidea,Unknown,Unknown,Achatinoidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Well-vegetated areas,Herbivore,200,Unknown,Snail,1000.0,Worldwide,"There are nearly 1,000 different species!",Unknown,YellowTan,Shell,Unknown,Unknown,0.01kg - 18kg (0.02lbs - 40lbs),0.5cm - 80cm (0.2in - 32in),Unknown,Unknown,Unknown,"Rodents, Frogs, Birds",Unknown,Unknown,"Armoured shell with long, thin eye stems",Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Fruits, Stems",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9,42.5
Snail,Central-America,Animalia,Mollusca,Gastropoda,Achatinoidea,Unknown,Unknown,Achatinoidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Well-vegetated areas,Herbivore,200,Unknown,Snail,1000.0,Worldwide,"There are nearly 1,000 different species!",Unknown,YellowTan,Shell,Unknown,Unknown,0.01kg - 18kg (0.02lbs - 40lbs),0.5cm - 80cm (0.2in - 32in),Unknown,Unknown,Unknown,"Rodents, Frogs, Birds",Unknown,Unknown,"Armoured shell with long, thin eye stems",Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Fruits, Stems",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9,42.5
Snail,Eurasia,Animalia,Mollusca,Gastropoda,Achatinoidea,Unknown,Unknown,Achatinoidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Well-vegetated areas,Herbivore,200,Unknown,Snail,1000.0,Worldwide,"There are nearly 1,000 different species!",Unknown,YellowTan,Shell,Unknown,Unknown,0.01kg - 18kg (0.02lbs - 40lbs),0.5cm - 80cm (0.2in - 32in),Unknown,Unknown,Unknown,"Rodents, Frogs, Birds",Unknown,Unknown,"Armoured shell with long, thin eye stems",Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Fruits, Stems",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9,42.5
Snail,Europe,Animalia,Mollusca,Gastropoda,Achatinoidea,Unknown,Unknown,Achatinoidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Well-vegetated areas,Herbivore,200,Unknown,Snail,1000.0,Worldwide,"There are nearly 1,000 different species!",Unknown,YellowTan,Shell,Unknown,Unknown,0.01kg - 18kg (0.02lbs - 40lbs),0.5cm - 80cm (0.2in - 32in),Unknown,Unknown,Unknown,"Rodents, Frogs, Birds",Unknown,Unknown,"Armoured shell with long, thin eye stems",Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Fruits, Stems",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9,42.5
Snail,North-America,Animalia,Mollusca,Gastropoda,Achatinoidea,Unknown,Unknown,Achatinoidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Well-vegetated areas,Herbivore,200,Unknown,Snail,1000.0,Worldwide,"There are nearly 1,000 different species!",Unknown,YellowTan,Shell,Unknown,Unknown,0.01kg - 18kg (0.02lbs - 40lbs),0.5cm - 80cm (0.2in - 32in),Unknown,Unknown,Unknown,"Rodents, Frogs, Birds",Unknown,Unknown,"Armoured shell with long, thin eye stems",Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Fruits, Stems",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9,42.5
Snail,Ocean,Animalia,Mollusca,Gastropoda,Achatinoidea,Unknown,Unknown,Achatinoidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Well-vegetated areas,Herbivore,200,Unknown,Snail,1000.0,Worldwide,"There are nearly 1,000 different species!",Unknown,YellowTan,Shell,Unknown,Unknown,0.01kg - 18kg (0.02lbs - 40lbs),0.5cm - 80cm (0.2in - 32in),Unknown,Unknown,Unknown,"Rodents, Frogs, Birds",Unknown,Unknown,"Armoured shell with long, thin eye stems",Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Fruits, Stems",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9,42.5
Snail,Oceania,Animalia,Mollusca,Gastropoda,Achatinoidea,Unknown,Unknown,Achatinoidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Well-vegetated areas,Herbivore,200,Unknown,Snail,1000.0,Worldwide,"There are nearly 1,000 different species!",Unknown,YellowTan,Shell,Unknown,Unknown,0.01kg - 18kg (0.02lbs - 40lbs),0.5cm - 80cm (0.2in - 32in),Unknown,Unknown,Unknown,"Rodents, Frogs, Birds",Unknown,Unknown,"Armoured shell with long, thin eye stems",Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Fruits, Stems",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9,42.5
Snail,South-America,Animalia,Mollusca,Gastropoda,Achatinoidea,Unknown,Unknown,Achatinoidea,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Well-vegetated areas,Herbivore,200,Unknown,Snail,1000.0,Worldwide,"There are nearly 1,000 different species!",Unknown,YellowTan,Shell,Unknown,Unknown,0.01kg - 18kg (0.02lbs - 40lbs),0.5cm - 80cm (0.2in - 32in),Unknown,Unknown,Unknown,"Rodents, Frogs, Birds",Unknown,Unknown,"Armoured shell with long, thin eye stems",Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, Fruits, Stems",Unknown,Unknown,Unknown,Leaves,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9,42.5
Snow Crab,Ocean,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,C. opilio,"Fish, shrimp, smaller crabs, clams",Unknown,Group,Unknown,Ocean warming,Unknown,"Opie, opilio crab",Up to two years,Unknown,Carnivore,Unknown,Unknown,Snow crab,Unkown,Unknown,Unknown,Unknown,Unknown,Hard Shell,Unknown,Unknown,5 - 7 pounds,3.7 - 6.5 inches,Unknown,Unknown,Unknown,"Humans, squid, seals, halibut",Crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Up to 100,000 eggs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,2.7,15
Sockeye Salmon,North-America,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,"Zooplankton, amphipods, insects",Unknown,School,Unknown,Overfishing,Bright red to dirty red coloration during spawning season,"Red salmon, kokanee salmon, blueback salmon",90 - 150 days,Ocean and tributaries,Carnivore,Unknown,Unknown,Sockeye salmon,1.0,Unknown,Unknown,Unknown,Unknown,Scales,Unknown,5 years,Up to 9.3 pounds,1.5 - 2.5 feet,5 years,Unknown,Unknown,"Humans, bears, eagles, wolves, sharks, lampreys, and marine mammals",Salmon,Unknown,Unknown,Unknown,90 to 150 days,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.5,Unknown,Unknown,1,0,0,2,61
Sockeye Salmon,Ocean,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,"Zooplankton, amphipods, insects",Unknown,School,Unknown,Overfishing,Bright red to dirty red coloration during spawning season,"Red salmon, kokanee salmon, blueback salmon",90 - 150 days,Ocean and tributaries,Carnivore,Unknown,Unknown,Sockeye salmon,1.0,Unknown,Unknown,Unknown,Unknown,Scales,Unknown,5 years,Up to 9.3 pounds,1.5 - 2.5 feet,5 years,Unknown,Unknown,"Humans, bears, eagles, wolves, sharks, lampreys, and marine mammals",Salmon,Unknown,Unknown,Unknown,90 to 150 days,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.5,Unknown,Unknown,1,0,0,2,61
Spinner Shark,Ocean,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus brevipinna,Unknown,Unknown,Group,Uncertain,"Human exploitation, habitat loss",Jumping and spinning,"Blacktip shark, longnose gray whaler",11 to 15 months,Tropical and warm temperate waters,Carnivore,Unknown,Unknown,Spinner shark,Unkown,Unknown,Unknown,Unknown,GreyBlackLight-Brown,Tough,Unknown,15 to 20 years,120 to 200 pounds,6 to 9 feet,Unknown,Unknown,Unknown,Humans,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,"Small bony fish ponds, streams, ocean, etc",Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,72,228
Spiny Dogfish,Ocean,Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias,"Octopuses, crabs, squid, smaller sharks, jellyfish, shrimp, and sea cucumber",Unknown,Pack,"Biomass of 106.8 thousand metric tons in the Atlantic Ocean; 44,660,000 fish in the Pacific Ocean",Overfishing,Unknown,"Dogfish Shark, Spiky Dog, Piked Dogfish, Rock Salmon, Spring Dogfish, White-Spotted Dogfish Predators: Sharks, Seals, Orcas, Tuna, American Anglerfish, Humans",Unknown,Oceans and seas,Carnivore,Unknown,Unknown,Spiny Dogfish,2.0,Unknown,Found in ocean waters worldwide!,Unknown,BrownGreyBlackWhite,Smooth,Unknown,"Average of 20 to 24 years, but can live up to 50 years",8 pounds,Maximum length of 39 inches (male); maximum length of 49 inches (female),Unknown,Unknown,Unknown,"Sharks, Whales, Humans",Unknown,Unknown,Unknown,Unknown,Unknown,6.0,Unknown,Unknown,"Fish, Squid, Crustaceans",Salt,Unknown,Unknown,"Octopuses, crabs, squid, smaller sharks, jellyfish, shrimp, and sea cucumber",Unknown,Unknown,6.5-8.5,Unknown,Unknown,1,0,0,3.6,110
Spotted Gar,Central-America,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus oculatus,Unknown,Unknown,Solitary,Unknown,Water pollution,"Long, cylindrical body",Gar,10-14 days,6.0-8.0,Carnivore,Unknown,Unknown,Spotted gar,1.0,Unknown,Unknown,Unknown,BlackDull Olive,Scales,Unknown,216 months,10lbs,39in - 59in,Unknown,Unknown,Unknown,Other types of gars,Lepisosteidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Minnows, mosquito larvae, blue crabs, larger fish",Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6.0-8.0,Unknown,Unknown,1,0,0,4.5,122
Spotted Gar,North-America,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus oculatus,Unknown,Unknown,Solitary,Unknown,Water pollution,"Long, cylindrical body",Gar,10-14 days,6.0-8.0,Carnivore,Unknown,Unknown,Spotted gar,1.0,Unknown,Unknown,Unknown,BlackDull Olive,Scales,Unknown,216 months,10lbs,39in - 59in,Unknown,Unknown,Unknown,Other types of gars,Lepisosteidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Minnows, mosquito larvae, blue crabs, larger fish",Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6.0-8.0,Unknown,Unknown,1,0,0,4.5,122
Squid,Ocean,Animalia,Mollusca,Cephalopoda,Teuthida,Oegopsina,Unknown,Teuthida,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cooler and temperate waters,Carnivore,5,Solitary,Unknown,Unkown,Unknown,Some species are known to have 10 arms!,Unknown,BrownGreyBlackWhite,Smooth,18 mph,5-30 years,"0.3-500kg (0.6-1,102lbs)",Unknown,Unknown,Unknown,Unknown,"Human, Seal, Whales",Cephalopod,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Crabs, Shrimp",Unknown,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,251.5,Unknown
Squirrelfish,Ocean,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,Holocentrus adscensionis,"Meroplankton, shrimp",Fry,Social,Unknown,Habitat loss,Large protuberant eyes,"Soldierfish, striped squirrelfish",48-72 hours,Tropical and subtropical reefs,Carnivore,Unknown,Social,Squirrelfish,70.0,Atlantic Ocean,Unknown,School,RedSilver,Scales,Unknown,2-4 years,Unknown,6-10 inches,5 inches,Unknown,"500-1,000",Larger fish and sea birds,Fish,1-2 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,8.1-8.4,Unknown,Unknown,1,0,0,Unknown,20
Stargazer Fish,North-America,Animalia,Chordata,Actinopterygii,Trachiniformes,Uranoscopidae,Uranoscopus,Uranoscopus scaber,"Crustaceans, crabs, small fish",Unknown,Solitary,Unknown,Diseases and parasites,Eyes on top of its head,Monkfish,2 months,Unknown,Omnivore,Unknown,Unknown,Stargazer fish,4.0,Unknown,Unknown,Unknown,WhiteGreenDark Brown,Scales,Unknown,Diseases and parasites,Eyes on top of its head,Monkfish,2 months,Aggressive,Unknown,Unknown,Perciformes,These fish suck prey in like a vacuum or use a tentacle-like appendage,These fish suck prey in like a vacuum or use a tentacle-like appendage,Unknown,Unknown,Unknown,Yes,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,An organ on their heads helps these fish deter predators and disable prey with shocks,Unknown,1,0,0,Unknown,Unknown
Stargazer Fish,Ocean,Animalia,Chordata,Actinopterygii,Trachiniformes,Uranoscopidae,Uranoscopus,Uranoscopus scaber,"Crustaceans, crabs, small fish",Unknown,Solitary,Unknown,Diseases and parasites,Eyes on top of its head,Monkfish,2 months,Unknown,Omnivore,Unknown,Unknown,Stargazer fish,4.0,Unknown,Unknown,Unknown,WhiteGreenDark Brown,Scales,Unknown,Diseases and parasites,Eyes on top of its head,Monkfish,2 months,Aggressive,Unknown,Unknown,Perciformes,These fish suck prey in like a vacuum or use a tentacle-like appendage,These fish suck prey in like a vacuum or use a tentacle-like appendage,Unknown,Unknown,Unknown,Yes,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,An organ on their heads helps these fish deter predators and disable prey with shocks,Unknown,1,0,0,Unknown,Unknown
Stargazer Fish,Oceania,Animalia,Chordata,Actinopterygii,Trachiniformes,Uranoscopidae,Uranoscopus,Uranoscopus scaber,"Crustaceans, crabs, small fish",Unknown,Solitary,Unknown,Diseases and parasites,Eyes on top of its head,Monkfish,2 months,Unknown,Omnivore,Unknown,Unknown,Stargazer fish,4.0,Unknown,Unknown,Unknown,WhiteGreenDark Brown,Scales,Unknown,Diseases and parasites,Eyes on top of its head,Monkfish,2 months,Aggressive,Unknown,Unknown,Perciformes,These fish suck prey in like a vacuum or use a tentacle-like appendage,These fish suck prey in like a vacuum or use a tentacle-like appendage,Unknown,Unknown,Unknown,Yes,High,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,An organ on their heads helps these fish deter predators and disable prey with shocks,Unknown,1,0,0,Unknown,Unknown
Stingray,Ocean,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Unknown,Unknown,Unknown,"Snails, clams, and squids",Unknown,Solitary,Not known,"Sea lions, seals, sharks, and other large fish",Unknown,Unknown,Three months,Black and Mediterranean Seas,Carnivore,8,Solitary,Stingray,200.0,Unknown,It's stinger is razor-sharp or serrated!,Unknown,BrownGrey,Scales,30 mph,15 - 25 years,25kg - 97kg (55lbs - 214lbs),50cm - 200cm (19.6in - 79in),Unknown,Unknown,Unknown,"Sea lions, seals, sharks, and other large fish",Fish,Unknown,Flattened body shape and venom filled tail,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Snails, clams, and squid",Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,61,125
Stone Crab,Ocean,Animalia,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe,Unknown,"Mollusk, oysters",Unknown,Unknown,Unknown,Unknown,Two uneven but oversized claws,Florida stone crab,Up to two weeks,Waters off the Florida coast,Carnivore,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,BrownGreyRedTan,Exoskeleton,Unknown,Males: 7 years Females: 8 years,Unknown,Between 5½ to 6 inches at the carapace (the widest part of the crab),Unknown,Unknown,Unknown,"Octopi, sea turtles",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,Unknown
Sturgeon,Ocean,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Unknown,Unknown,"Shells, crustaceans, small fish",Unknown,Unknown,Unknown,Overexploitation,Elongated body and plates,Unknown, 8 to 15 days,"Oceans, gulfs and lakes",Carnivore,Unknown,Unknown,Sturgeon,29.0,Unknown,Unknown,Unknown,GreyBlackWhiteOlive,Smooth,Unknown,50 to 60 years,"200 to 1,800 pounds",Up to 22 feet long,Unknown,Unknown,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,450,335
Sucker Fish,,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Unknown,Unknown,"Algae, zooplankton, insects, small invertebrates, crustaceans, and plants",Unknown,Unknown,Unknown,Pollution and dams,Unknown,Unknown,Average of 10 days to eggs hatching,Freshwater streams and lakes,Omnivore,Unknown,Unknown,Unknown,79.0,"United States, Russia, and China",Commonly found throughout America!,Unknown,Unknown,Hair,Unknown,Bigmouth buffalo can live up to 112 years!,Maximum of 80 pounds (bigmouth buffalo),1 to 3 feet,Unknown,Unknown,Unknown,"Trout, bass, catfish, and walleye",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,18,61
Surgeonfish,Central-America,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Unknown,Unknown,Unknown,Unknown,SolitarySchool,"Though the exact population of surgeonfish is not known, none of these fish appear to be endangered. The overall conservation status is not evaluated.","Climate change, pollution",Scalpel-like spines on the side of the tail that can deliver serious cuts,"Tang, doctorfish",24 hours,Unknown,Herbivore,Unknown,Unknown,Surgeonfish,Unkown,Warm seas around the world,Unknown,Unknown,Unknown,Scales,Unknown,Unknown,1.3 pounds,6 inches to over 6 feet,Unknown,Unknown,Unknown,"Eels, larger fish, rays",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Zooplankton,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.6,15
Surgeonfish,North-America,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Unknown,Unknown,Unknown,Unknown,SolitarySchool,"Though the exact population of surgeonfish is not known, none of these fish appear to be endangered. The overall conservation status is not evaluated.","Climate change, pollution",Scalpel-like spines on the side of the tail that can deliver serious cuts,"Tang, doctorfish",24 hours,Unknown,Herbivore,Unknown,Unknown,Surgeonfish,Unkown,Warm seas around the world,Unknown,Unknown,Unknown,Scales,Unknown,Unknown,1.3 pounds,6 inches to over 6 feet,Unknown,Unknown,Unknown,"Eels, larger fish, rays",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Zooplankton,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.6,15
Surgeonfish,Ocean,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Unknown,Unknown,Unknown,Unknown,SolitarySchool,"Though the exact population of surgeonfish is not known, none of these fish appear to be endangered. The overall conservation status is not evaluated.","Climate change, pollution",Scalpel-like spines on the side of the tail that can deliver serious cuts,"Tang, doctorfish",24 hours,Unknown,Herbivore,Unknown,Unknown,Surgeonfish,Unkown,Warm seas around the world,Unknown,Unknown,Unknown,Scales,Unknown,Unknown,1.3 pounds,6 inches to over 6 feet,Unknown,Unknown,Unknown,"Eels, larger fish, rays",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Zooplankton,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.6,15
Swai Fish,Asia,Animalia,Chordata,Actinopterygii,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon hypophthalmus,"Crustaceans, small fish, and plants",Unknown,School,Unknown,Fishing,Shark-style dorsal fin,"Tra fish, iridescent shark, pangasius",Unknown,Rivers,Omnivore,Unknown,Unknown,Iridescent shark,1.0,Unknown,Unknown,Unknown,SilverBeige,Scales,Unknown,Unknown,50 - 100 lbs,2-4 ft,Unknown,Unknown,Unknown,Unknown,Pangasiidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,33,152
