name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Peringuey’s Adder,['Africa'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,B. peringueyi,Lizards and geckos,Unknown,Solitary,Unknown,Unknown,Eyes on the top of their head!,"Peringuey's adder, Peringuey's desert adder, sidewinding adder, Namib dwarf sand adder, dwarf puff adder, Namib desert sidewinding adder, dwarf sand adder, Namib dwarf adder, and Namib desert viper.",Unknown,Desert,Carnivore,Unknown,Diurnal,Unknown,Unkown,Unknown,Unknown,Unknown,BrownGreyFawnTanLight-Brown,Scales,Unknown,Unknown,Unknown,8-10 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly keeled scales that give it an almost furry appearance.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Lizards from the Meroles genus.,Unknown,Unknown,Unknown,Unknown,Lizards from the Meroles genus,Unknown,Unknown,1,0,0,,1.0
Ribbon Snake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sauritus,"Frogs, fish, salamanders",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,3-26 live young,Unknown,Ribbon Snake,Unkown,Unknown,Unknown,Unknown,BrownYellowBlueBlackWhiteOlive,Unknown,Unknown,10-11 years,Unknown,18-35 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,198.12
Aesculapian snake,"['Asia', 'Europe']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Zamenis,Zamenis longissimus,"Rodents, shrews, moles, birds, eggs, lizards, and insects",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,10 eggs,Unknown,Aesculapian snake,Unkown,Unknown,Unknown,Unknown,BlackOliveMulti-colored,Unknown,Unknown,25-30 years,Unknown,3-6.6 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,91.44
Bushmaster Snake,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Lachesis,Lachesis acrochorda,"Small mammals, reptiles, birds, amphibians",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,bushmaster,Unkown,Unknown,Unknown,Unknown,BrownRedTanOrangePink,Scales,Unknown,12 to 24 years,Unknown,6.6 to as much as 13 feet,Unknown,Unknown,Five to 19 eggs,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,91.44
Spider-Tailed Horned Viper,['Asia'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Pseudocerastes,Pseudocerastes urarachnoides,"Prefers birds but will also eat lizards, rodents, and arthropods",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Iranian Spider Viper,Unkown,Unknown,Unknown,Unknown,GreyTan,Scales,Unknown,Unknown,Approx. 1 pound,About 20 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,91.44
Mulga Snake,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Pseudechis,Pseudechis australis,"Frogs, lizards, other snakes, birds, small mammals, other mulga snakes.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,4-19 eggs,Unknown,King brown snake,Unkown,Unknown,Unknown,Unknown,Brown,Unknown,Unknown,Up to 25 years (in captivity),Unknown,5-10 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,91.44
Boomslang,['Africa'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Dispholidus,Dispholidus typus,"Reptiles, frogs, birds, eggs, and small mammals",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Boomslang,Unkown,Unknown,Unknown,Unknown,BrownGreen,Unknown,Unknown,8-9 years in captivity,Unknown,Unknown,Unknown,Unknown, 8-27 eggs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.006,6.0
Australian Gecko,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Unknown,Unknown,Unknown,"Insects, smaller lizards, invertebrates",Hatchling,Solitary/Group,Millions. Conservation status of many of these geckos is least concern.,Illegal pet trade,"The ability to climb up just about anything, including glass.","Moon lizard, Tayoto, nactus, dtella, chichak",30 to 80 days,Unknown,Omnivore,Unknown,Unknown,Australian gecko,Unkown,Australia,Unknown,Unknown,GreyYellowGreenOrangePink,Skin,Unknown,Five to 15 years,1.6 to 2.82 ounces,0.64 to 6 inches,One to two years,Unknown,One or two eggs,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,167.64
Death Adder,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Acanthopis,Acanthopis antarcticus,"Birds, small mammals",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,3-30+,Unknown,Death Adder,Unkown,Unknown,Unknown,Unknown,BrownRedBlack,Unknown,Unknown,Up to 15 years,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Black, brown and red bands",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,35.56
Urutu Snake,['South-America'],Animalia,Chordata,Reptilia,Squamata,Serpentes,Bothrops,Bothrops alternatus,"Opossum, amphibians, and small rodents",Snakelets or neonates,Unknown,Unknown,Global warming and habitat destruction,Triangle-shaped head,Unknown,Unknown,"Rainforests and humid regions of Brazil, Argentina, Paraguay, and Uruguay",Carnivore,Unknown,Unknown,"Yarará grande, víbora de la cruz, urutu, wutu, crossed pit viper",1.0,Unknown,Unknown,Unknown,BrownYellowWhiteTanCreamChocolateOlive-Grey,Unknown,Unknown,15.2 years,Unknown,31 to 67 inches,Unknown,Unknown,3 to 12 neonates,Humans capture them for the pet trade,Unknown,Unknown,Chocolate brown pattern with white or cream borders,Aggressive,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,35.56
Rock Python,['Africa'],Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python sebae,"Mammals, including warthogs and antelopes and bats, lizards, crocodiles, fish, the cubs of big cats and the pups of wild dogs, pet dogs, pet cats and livestock",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,"Rock python, African rock python",Unkown,Unknown,Unknown,Unknown,YellowDull OliveGrey-Brown,Scales,Unknown,18 to 30 years,Unknown,9 feet 10 inches to over 25 feet,Unknown,Unknown,20 to 100,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,182.88
Caiman,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caimaninae,"Caiman crocodilus, Melanosuchus niger, Caiman yacare, Paleosuchus palpebrosus, Paleosuchus trigonatus, Caiman latirostris","Fish, crustaceans, waterfowl, capybara",Hatchling,Social,Unknown,Habitat loss and hunting,Eyes and nostrils located on top of the head and snout,"Spectacled Caiman, Black Caiman, Yacare Caiman, Cuvier's Dwarf Caiman, Smooth-Fronted Caiman, Broad-Snouted Caiman",Unknown,"Rivers, lakes and swampland",Carnivore,Unknown,Nocturnal,Caiman,6.0,Central and South America,Can grow to up 6 meters long!,Reptile,BrownGreyBlackDull Olive,Plate-like scales,25 mph,20 - 40 years,6kg - 300kg (13lbs - 660lbs),1.5m - 6m (4.9ft - 19.7ft),4 - 10 years,Unknown,Unknown,"Jaguars, wild pigs, birds of prey",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3 months,Unknown,Unknown,Unknown,Unknown,1 - 2 years,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,63.5
Puff Adder,['Africa'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,Bitis arietans,"Rodents, frogs, birds, insects, and other reptiles",Unknown,Solitary,Unknown,Unknown,Unknown,"African puff adder, common puff adder",Unknown,Unknown,Carnivore,Unknown,Unknown,puff adder,Unkown,Unknown,Unknown,Unknown,BrownGreyBlackTanGoldenLight-Brown,Scales,Unknown,13 to 16 years,Unknown,two to five feet,Unknown,Unknown,20 to 50 live young,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,63.5
Grass Snake,"['Asia', 'Central-America', 'Europe', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Natrix,Natrix natrix,Various amphibianous creatures,Hatchling,Solitary,Unknown,Loss of habitat and pollution impact on prey,Unknown,"Garter snake, water snake, ringed snake",Unknown,Areas near bodies of waters,Omnivore,Unknown,Unknown,Garter snake,26.0,Everywhere,Unknown,Unknown,White,Unknown,Unknown,15 to 25 years,Unknown,2 to 4 feet,Unknown,Unknown,Unknown,"Hawks, crows, bears, bullfrogs, snapping turtles, foxes, squirrels and raccoons",Smooth,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Toads, frogs, other amphibians",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,1,0,,33.02
Mojave Rattlesnake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus scutulatus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Mojave rattlesnake or Mojave green,Unkown,Unknown,Unknown,Unknown,BrownGreen,Unknown,Unknown,12-20 years,Unknown,4.5 feet,Unknown,Unknown,2-17 live young,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1.3834567285,9.525
Black Rat Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantheropis,Pantheropis obsoletus,"Mice, frogs, birds, eggs",Unknown,Unknown,"100,000",Unknown,Adults have shiny black scales on its back along with a gray or tan belly in a checkered pattern and white on their chin and neck,Western rat snake and the pilot black snake,Unknown,"Farmlands, rocky areas of land, hillsides, and forests",Carnivore,Unknown,Unknown,Black Rat Snake,Unkown,Unknown,Unknown,Unknown,BrownGreyBlackWhite,Scales,Unknown,Unknown,Unknown,3.5 - 8 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Thick powerful bodies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1.3834567285,9.525
Snouted Cobra,['Africa'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,Naja annulifera,"Birds, lizards, rodents, toads, and other snakes",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Snouted Cobra,Unkown,Unknown,Unknown,Unknown,BrownYellowBlue,Scales,Unknown,20 years,Unknown,4-8 feet,Unknown,Unknown,8-33 eggs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,6.0,
Massasauga,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Sistrurus,Sistrurus catenatus,"Small mammals, lizards, other snakes, centipedes",Unknown,Solitary,Unknown,Unknown,Unknown,Unknown,Unknown,"Prairie, marsh, and lake areas",Carnivore,Unknown,Unknown,Massasauga Rattlesnake,Unkown,North America,Unknown,Unknown,BrownGreyBlackTan,Scales,Unknown,8-14 years,Unknown,24-30 inches,Unknown,Unknown,8-20 live young,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,6.0,
Mamba,['Africa'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Dendroaspis,"Dendroaspis angusticeps, Dendroaspis jamesoni, Dendroaspis polylepis, Dendroaspis viridis","bush babies, hyrax, birds, bats, rodents, and eggs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,6 to 25 eggs,Unknown,Mamba,Unkown,Unknown,Unknown,Unknown,BrownGreyGreen,Unknown,Unknown,"11 years in the wild, 18 in captivity",Unknown,4.6-14ft,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,167.64
Radiated Tortoise,['Africa'],Animalia,Chordata,Reptilia,Testudines,Testudinidae,Astrochelys,Astrochelys radiata,"Grasses, Fruits, Flowers",Hatchling,Solitary,Declining,Habitat loss,Unknown,Sokake,Unknown,Dry tropical forest,Herbivore,Unknown,Diurnal,Radiated Tortoise,1.0,southern Madagascar,The most protected tortoise in the world!,Reptile,BrownYellowBlackTanGreen,Scales,0.3 mph,30 - 80 years,2.2kg - 16kg (4.9lbs - 35lbs),30cm - 41cm (12in - 16in),15 - 20 years,Unknown,Unknown,"Birds, Reptiles, Humans",Unknown,Unknown,High domed protective shell and yellow limbs,Unknown,Unknown,Unknown,4 - 7 months,Unknown,3.0,Unknown,Unknown,1 month,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1.75,25.0
Kenyan Sand Boa,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Squamata,Boidae,Gongylophis,Gongylophis colubrinus,"Small mammals, lizards, birds",Snakelets,Unknown,Unknown,"Habitat destruction, over-collection for pet trade",Beautiful colorations,"East African sand boa, Egyptian sand boa, sand boa, Kenyan sand boa",4 months,"Semi-desert, scrubland, savannas, prefers loose soil",Carnivore,Unknown,Nocturnal,Kenyan sand boa,2.0,Northern and Eastern Africa,A popular pet snake that comes in dozens of morphs!,Reptiles,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,2.0
Banana Ball Python,['Africa'],Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,banana python,Unkown,Unknown,Unknown,Unknown,YellowTanOrange,Scales,Unknown,20-30 years,Unknown,"four feet (female), 2.5 feet (male)",Unknown,Unknown,four to 10,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,120.0,27.94
Basilisk Lizard,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Corytophanidae,Basiliscus,Unknown,"Insects, small lizards and mammals, spiders, snails, crawfish.",Hatchlings,Solitary,Unknown,Pollution and habitat destruction.,Bright colors and whip-like tail.,"Common basilisk lizard, western basilisk lizard, red-headed basilisk lizard, plumed basilisk lizard, green basilisk lizard, double-crested basilisk lizard, brown basilisk lizard, striped basilisk lizard.",8-10 weeks,Tropical rainforests,Carnivore,Unknown,Unknown,Basilisk,4.0,South America,Unknown,Solitary,BrownYellowRedBlueBlackGreen,Scales,15 mph,7 years,4.8 – 13+ ounces,2.5 feet,10-15 months,Unknown,20 eggs,"Large birds, snakes, fish, quetzals, other reptiles, nocturnal mammals.",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,120.0,27.94
Aruba Rattlesnake,['South-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. unicolor,"small rodents, birds, and lizards",Neonates,Unknown,Unknown,Human encroachment,Unknown,Unknown,About four months,"Dry, rocky areas on the island",Carnivore,Unknown,Nocturnal/Crepuscular,Unknown,Unkown,Aruba,Unknown,Unknown,BrownGreyFawn,Scales,Unknown,Unknown,Unknown,2-3 feet,Unknown,Unknown,5-15,Birds of prey,Unknown,Unknown,Unknown,Mild-mannered,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Gecko,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rocky deserts and mountainous regions,Carnivore,2,Solitary,Unknown,Unkown,Unknown,"There are thought to be over 2,000 species!",Unknown,BrownYellowBlueBlackWhiteTanGreenOrange,Scales,30 mph,2-9 years,18g (0.5oz),Unknown,Unknown,Unknown,Unknown,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, Worms, Small Birds",Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,1,0,0,,
Anaconda,['South-America'],Animalia,Chordata,Reptilia,Squamata,Boidae,Eunectes,"E. murinus, E. notaeus, E. deschauenseei, E. Beniensis","Rodents, medium sized mammals, fish, amphibians, reptiles",Hatchlings,Unknown,Unknown,"Poaching, habitat loss",Their tremendous weight and length,"Giant anaconda, common anaconda, common water boa, sucuri",6 months,"Swamps, river, heavy forest",Carnivore,Unknown,Nocturnal,Anaconda,4.0,South America,Unknown,Unknown,Olive-Grey,Scales,10 mph,Unknown,Unknown,Unknown,Unknown,Unknown,20-40,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saltwater,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Southern Pacific Rattlesnake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. helleri,"Lizards, birds, snakes, frogs, and small mammals including rats, mice, rabbits, and ground squirrels.",neonate,Solitary,Unknown,habitat loss and human encounters,Rattle composed of interlocking keratin links.,Unknown,Unknown,"scrub brush, coastal sage, rocky hills",Carnivore,Unknown,NocturnalCrepuscularNocturnal/Crepuscularor Nocturnal Depending on Region and Season,Southern Pacific Rattlesnake,Unkown,Southern California from Santa Barbara County south to northern Baja California and the Santa Catalina Islands.,Unknown,Unknown,BrownGreyBlackDark Brown,Scales,Unknown,Unknown,Unknown,30-44 inches,Unknown,Unknown,Unknown,"Coyotes, roadrunners, hawks, owls.",Unknown,Unknown,"Large, triangular head and narrow neck.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Rats, mice, rabbits, and ground squirrels.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,121.92
Timber Rattlesnake (Canebrake Rattlesnake),['North-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus horridus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Timber Rattlesnake,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Up to 37 years,Unknown,3-7 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Rodents, shrews, rabbits, amphibians, and birds",Unknown,Unknown,1,0,0,,2.0
Red-Eared Slider,"['Africa', 'Asia', 'Central-America', 'Europe', 'North-America', 'Oceania']",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,Trachemys scripta elegans,"Insects and their larvae, spiders, crawfish, freshwater clams and sponges, eggs, snails, fish, slugs, small amphibians and reptiles",hatchling,Solitary,millions,none,The red stripe behind its ear,none,60 to 95 days,"In forests or savannas near freshwater bodies. The water needs to be shallow, sluggish and full of plant and animal life and places for the turtle to bask.",Omnivore,Unknown,Unknown,Red-eared slider,Unkown,Unknown,Unknown,Unknown,YellowGreen,Shell,12 mph,30 years,8.5 ounces,5 to 8 inches but can grow to 12 inches. Females are larger.,"Two to five years for males, five to eight years for females",Unknown,Two to 20 eggs,"Snakes, alligators, waterbirds, crows, opossums, large fish, skunks, raccoons, minks, otters, foxes, armadillos, coyotes and humans. White tailed deer and foxes eat their eggs.",reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,70.0,53.34
Common European Adder,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,V. berus,"Small mammals, lizards, amphibians, and sometimes bird eggs.",Unknown,Solitary,Unknown,Predators during its hibernation,"Dark zigzag pattern down the length of the back, and V or X shaped marking on their head.","Common European viper, European viper, adder, common adder, common viper, crossed viper, European adder, European common viper, northern viper, cross adder, hogorm, hoggorm, kyykäärme, hugorm",Unknown,"Forest edges, countryside, river banks",Carnivore,Unknown,Diurnalor Nocturnal Depending on Region and Seasonterrestrial,"Common adder, black adder, European adder",Unkown,Unknown,Unknown,Unknown,BrownGreyBlackTanBlack-Brown,Scales,Unknown,10-15 years,Unknown,24-36 inches,Unknown,Unknown,3-20,"Birds of prey, carnivorous mammals",Unknown,Unknown,Unknown,Timid,Unknown,Unknown,Unknown,Unknown,Unknown,"Small mammals such as mice, shrews, and rats.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.0141747462720417,20.32
Marine Iguana,['South-America'],Animalia,Chordata,Reptilia,Squamata,Iguanidae,Amblyrhynchus,Amblyrhynchus cristatus,Unknown,Juveniles,Solitary,"250,000",Man,"Long spines on head, back and tail","Saltwater lizards, Galapagos lizard, Christmas lizard",Eggs hatch in 89 to 120 days,Rocky shoreline on Galápagos Islands,Herbivore,Unknown,Unknown,Unknown,1.0,Galapagos Islands,Unknown,Unknown,Black,Tough,24 mph,60 years,1kg-75kg (2.2lbs-165lbs),20cm-38cm(8in-19in),3-8 years,Unknown,1-6 eggs,"Galapagos hawks, snakes, rodents, cats and dogs when young",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.0141747462720417,20.32
Gila Monster,['North-America'],Animalia,Chordata,Reptilia,Squamata,Helodermatidae,Heloderma,Heloderma suspectum,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Shrubland, desert and woodland",Carnivore,Unknown,Solitary,Unknown,Unkown,Unknown,It's tail acts as a fat storage facility!,Unknown,BrownGreyBlackWhiteTan,Scales,15 mph,20-30 years,1.3-2.2kg (3-5lbs),Unknown,Unknown,Unknown,Unknown,"Humans, Coyotes, Birds Of Prey",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8.0,"Eggs, Small Mammals, Birds and Reptiles",Unknown,Unknown,Unknown,Unknown,Eggs,Unknown,Unknown,1,0,0,0.01,20.0
Komodo Dragon,['Asia'],Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus komodoensis,"Pigs, Deer, Water Buffalo",Pup,Solitary,"3,000 - 5,000",Hunting and habitat loss,Long and deep forked tongue to taste the air,Komodo Monitor,Unknown,Open woodland and hillsides,Carnivore,20,Diurnal,Komodo Dragon,1.0,Komodo National Park,Only found on five Indonesian islands,Reptile,BrownGreyCream,Scales,11 mph,25 - 40 years,70kg - 150kg (150lbs - 300lbs),2m - 3.1m (6.6ft - 10.3ft),5 years,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8 -9 months,Unknown,Unknown,Unknown,Unknown,On hatching,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,226.796185,228.6
Spider Ball Python,['Africa'],Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Ball python,Unkown,Unknown,Unknown,Unknown,Black,Unknown,Unknown,20-50 years,Unknown,3-4.5 feet,Unknown,Unknown,1-11 eggs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,226.796185,228.6
Rattlesnake,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,It's venom digests it's prey before it even swallows it!,Unknown,Unknown,Hair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saltwater,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,226.796185,228.6
