name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features
Alpine Dachsbracke,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,8,,Alpine Dachsbracke,,,Good companion and hard-working breed!,Dog,BrownRedBlack,Hair,,12 years,,,,,,,Scent Hound,,"Elongated body and short, stocky legs","Fearless, friendly and intelligent",Easy,,,,,,,,,,,,,,,,,
Alpine Goat,"['Europe', 'North-America']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,Kids,Herd,,Habitat reduction,"Tall, slightly curved horns","French Alpine, British Alpine, Rock Alpine",155 days,"Domestic, mountains",Herbivore,,,Alpine goat,,,,,BrownGreyBlackWhite,Hair,15 mph,15-18 years,135-175 lbs,,2 years,8 weeks,1.75,"Wolves, mountain lions, bobcats, and other carnivores",Mammal,32 inches,,,,,,,,,,,,,,,,"Grass, vegetation",,,,
Alusky,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyBlackWhiteSilver,Hair,,10 to 15 years,100 lbs,,,,,,,,,Energetic and friendly,,,,,,,,,,,,,,,,,,
Amazon Parrot,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,,,,,"The populations of many wild Amazon parrots haven’t been quantified, but 58 percent of these parrots are now considered endangered as of 2021. As of 2020 there were 2361 yellow-naped Amazon parrots, and there are an estimated 9000 to 10,000 red-tailed amazons in the wild. On the other hand, the Imperial amazon is considered critically endangered, and there may be only 50 adult birds in the wild.","Pet trade, habitat destruction",Their colorful feathers,"Sisserou, turquoise-fronted parrot, yellow-shouldered parrot, mercenary amazon, red-tailed parrot, cuca",,"Woodlands, savannas, rainforests, palm groves, cloud forests, moist forests, mountain forests",Herbivore,,,Amazon Parrot,35.0,"South America, the Caribbean, Mexico, South Africa, Europe",,,YellowRedBlueGreenPurple,Feathers,50 mph,As long as 100 years,7.6 ounces to 32 ounces,10 to 20 inches long,,,Two to five,"Monkeys, birds of prey, snakes",Bird,,,,,8 inches to 11.26 inches,About a month,,,,,,,,,Tree cavity,Two months,,,,,
Amazon River Dolphin (Pink Dolphin),['South-America'],Animalia,Chordata,Mammalia,Cetacea,Platanistoidea,Platanistidae,Platanistoidea,,,,,,,,,Large tropical rivers and estuaries,Carnivore,1,School,,,,Also known as the 'Pink Dolphin',,GreyPink,Smooth,18 mph,12-18 years,100-200kg (220-440lbs),,,,,Human,Mammal,,,,,,,,,,,"Fish, Prawns, Frogs",,,,,,Fish,,,,
Ambrosia Beetle,['North-America'],Animalia,Arthropoda,Insecta,Coleoptera,,,,Fungi,Larvae,Solitary,,,The long oddly shaped shell,,one month,"Anywhere with hardwood trees, conifers, and woody shrubs",Omnivore,,,Ambrosia Beetle,,,,,BrownRedBlack,Exoskeleton,,up to one year,1-5mg,0.1-0.3in,A few weeks or months,,up to 60 eggs,"Insects, spiders, reptiles, frogs, mammals, and birds",inesct,,,,,,,,,,,,,,,,,,,,,
American Alsatian,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Carnivore,,,American Alsatian,,,,,BlackGoldCreamSilver,Hair,,,66-88 pounds,,,,,,,24-26 inches,,"Calm, friendly, and loyal",,,,,,,,,,,,,,,,,,
American Bulldog,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,8,,American Bulldog,,,Can jump up to 6ft high!,Dog,BrownRedBlackWhiteTanBrindle,Hair,,,,,,,,,Mastiff,,Small pendant shaped ears and strong body,Assertive but loyal and friendly,Hard,,,,,,,,,,,,,,,,,
American Cocker Spaniel,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,4,,American Cocker Spaniel,,,"Merry, outgoing, and eager to please!",Dog,BrownGreyFawnRedBlackWhiteTan,Hair,,,,,,,,,Gun Dog,,"Long, dropped ears and feathered feet","Friendly, happy and enthusiastic",Easy,,,,,,,,,,,,,,,,,
American Cockroach,"['Africa', 'Europe', 'North-America']",Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana,organic and decaying matter,Nymph,Colony,,extermination by humans,two sets of wings,"ship cockroach, kakerlac, waterbug and Bombay canary",6-8 weeks,"Moist regions, within manmade structures",Omnivore,,,"Roach, waterbug",1.0,"North America, Spain, Portugal, Africa, Middle East",,intrusion (then infestation),BrownRed,Exoskeleton,3.4 mph,90 to 706 days,0.105g,29mm – 53mm (1.1in – 2.1in),6-12 months,, 9–10 egg cases on average (up to 90 cases),,insect,7mm (0.28in),,,,,,,,,,,,,,,,,,,,
American Coonhound,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,7,,American Coonhound,,,Easygoing and people-friendly!,Dog,BrownBlackWhiteTan,Hair,,12 years,,,,,,,Working,,"Long ears and strong, muscular legs",Sweet and even-tempered,Medium,,,,,,,,,,,,,,,,,
American Dog Tick,['North-America'],Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Dermacentor,Dermacentor variabilis,Blood,Larvae,Solitary,,Ingestion by mites or nematodes,Brown bodies with variable tan markings,"Wood tick, dog tick",1-30 days,,Omnivore,,,Dog tick,1.0,North America,,Ticks,Brown,Exoskeleton,,1-5 years,,3-15 mm,50-600 days,,"3,000-5,000 eggs",,Arachnid,,,,,,,,,,,,,,,,,,,,,
American Eskimo Dog,"['Europe', 'North-America']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,5,,American Eskimo Dog,,,The American Eskimo has splendid all white fur and an upturned tail,Dog,White,Hair,,13 - 15 years,,,,,,,,,"Bright, white coat and pointed ears",Playful and smart,Fairly easy,,,,,,,,,,,,,,,,,
American Foxhound,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,7,,American Foxhound,,,"Sweet, kind, loyal, and very loving!",Dog,BlackWhiteTan,Hair,,10 to 12 years,,,,,,,Hound,,"Long legs and wide, flat ears","Mix of affectionate, loving, and stubborn",Medium,,,,,,,,,,,,,,,,,
American Hairless Terrier,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Leopard Hound,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,,,,American Leopard Cur,,,Omnivore,,,,,,,,YellowBlueBlackTanBrindle,Hair,42 mph,12-15 years,,,,,5-8 puppies,,mammal,,,"Intelligent, athletic, and friendly",,,,,,,,,,,,,,,United States,,,
American Pit Bull Terrier,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,8,,American Pit Bull Terrier,,,These dogs are very energetic and would be up for a game at any given point of time,Working dog,BrownBlackWhiteTanBrindle,Hair,,8 to 15 years,,,,,,,Mastiff,,Small and sharply pointed ears,"Friendly, loyal, playful, affectionate, and slightly stubborn sometimes",,,,,,,,,,,,,,,,,,
American Pygmy Goat,['North-America'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,Kid,Herd,,,Small size,"Pygmy Goat, African Pygmy, Dwarf Cameroon",5 months,"Rocky terrain, Hillsides, Plains, Farmland",Herbivore,,,Pygmy goat,,United States,,,GreyBlackWhiteCaramel,Fur,,8-12 years,30-90 lbs,18-33 inches,2-4 months,8 weeks,1-4,"dogs, coyotes, bobcats",Mammal,15-20 inches,,,,,,,,,,,,,,,,Greens and grains,,,,
American Robin,"['Central-America', 'Europe', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus Linnaeus,Turdus migratorius,"earthworms, caterpillars, grasshoppers, beetle grubs, spiders, and snails",fledling,,310 million,pesticides,orange chest,,,"woodland, shrubland, and residential",Omnivore,,,American robin,7.0,North America,,,GreyBlackWhiteOrange,Feathers,36 mph,2 years,75-77g,8-11in,,,3-5,"birds of prey, snakes, and cats",bird,,,,,12-16in,12-14 days,,,,,,,,,tree forks and dense shrubs,,,,1.0,,
American Staffordshire Terrier,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,6,,American Staffordshire Terrier,,,Bred to be extremely friendly!,Mastiff,BrownBlackWhiteTan,Hair,,,,,,,,,,,,Dominant and stubborn yet loyal,Should be trained from a very early age using assertive techniques and should be intensively socialised with other dogs,,,,,,,,,,,,,,,,,
American Toad,['North-America'],Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus americanus,"Aquatic vegetation and algae, a wide variety of insects and other invertebrates, slugs, beetles, snails, and earthworms.",Tadpoles,Solitary/Group,"Unknown, due to constant fluctuations in different regions.",Snakes (Eastern hognose snakes),Warts on skin,,2-14 days,"Semi-permanent pool or pond, dense vegetation patches",Omnivore,,,American Toad,3.0,"Semi-permanent pool or pond, dense vegetation patches",,,BrownGreyOliveLight-Brown,Permeable,,"Talking about lifespan, they can live more than 10 years if taken care of, usually do not survive more than a year or two in the wild",Less than 1 lbs,50 to 100 mm,2 to 3 years,,"4,000-8,000 eggs",Snakes (Eastern hognose snakes),Frog (Amphibian),50 to 100 mm,,,,,,,,,,,,,,,,,,,,
American Water Spaniel,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,5,,American Water Spaniel,,,Friendly and intelligent!,Gun Dog,BrownBlackDark Brown,Hair,,,,,,,,,,,,"Intelligent, quiet and calm","Should be trained from an early age using short, ongoing sessions as assertive training methods tend to be ineffective",,,,,,,,,,,,,,,,,
Amur Leopard,"['Asia', 'Eurasia']",Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus orientalis,"Deer, Cattle, hares, small mammals",,,103 as of 2018,Poaching and habitat loss,,,90-105 days,Forests,Carnivore,2-3 cubs,Solitary,Amur leopard,,Russia's Far East,The Amur leopard may be the rarest big cat on Earth!,Mammal,,Hair,,10 - 15 years in wild; up to 20 in captivity,25kg - 48kg (55lbs - 106lbs),90 cm - 180 cm (3ft - 6ft) excluding tail,,,,Human poaching and competition with Siberian tigers,,,,,,,,,,,,,,,,,,,,,,
Anaconda,['South-America'],Animalia,Chordata,Reptilia,Squamata,Boidae,Eunectes,"E. murinus, E. notaeus, E. deschauenseei, E. Beniensis","Rodents, medium sized mammals, fish, amphibians, reptiles",Hatchlings,,Unknown,"Poaching, habitat loss",Their tremendous weight and length,"Giant anaconda, common anaconda, common water boa, sucuri",6 months,"Swamps, river, heavy forest",Carnivore,,Nocturnal,Anaconda,4.0,South America,,,Olive-Grey,Scales,10 mph,,,,,,20-40,,Reptile,,,,,,,,,,,,Saltwater,,,,,,,,,
Anatolian Shepherd Dog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,9,,Anatolian Shepherd Dog,,,Guards it's master's flocks!,Guard,BrownFawnRedBlueWhiteBrindleCream,Hair,,11-13 years,80-150 pounds,,,,5-10 pups,,,27-29 inches,,"Courageous, powerful, protective, calm and devoted.",Should be trained from an early age and respond best to motivational training as they can be dominant and stubborn,,,,,,,,,,,,,,,,,
Anchovies,['Ocean'],Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,,,Recently hatched fish and planktons,,School,"20,700 metric tons","Halibut, salmon, sharks, bluefish, striped bass, weakfish, and other fishes",Protruding upper jaw that extends to behind their eyes,,,"Salt waters and brackish waters, as well as in temperate waters",Omnivore,,,,144.0,,,,Green,Scales,,4 years,A few ounces,"5 to 6 inches, 10 inches at the maximum",,,,"Humans, halibut, salmon, sharks, bluefish, striped bass, weakfish, and other fishes",Fish,,,,,,,,,,,,Brackish,,,,,Recently hatched fish and planktons,,,,
Angelfish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,,,,Social,Unknown,Water pollution,Brightly colored scales,,1-3 days,Coral reefs,Omnivore,,,Angelfish,90.0,,There are 70 different species!,,YellowBlueBlackWhiteGreen,Scales,,Up to 15 years,Up to 2 pounds,8 to 12 inches,,,,"Larger fish, barracudas, sharks",Perciformes,,,,,,,,,,,"Sponges, algae",Salt,,,,,Fish,,,6.5 - 7.2,
Anglerfish,['Ocean'],Animalia,Chordata,Actinopterygii,Lophiiformes,,,,Crustaceans and fish,,Solitary,Unknown,,The lure,Seadevils,Up to a few weeks,,Omnivore,,,,,,,,BrownGreyYellowBlackGreen,Skin,,Up to 25 years,Up to 110lbs,Up to 1.2m (4ft),,,,,,,,,,,,,,,,,,,,,,,,,,
Angora Ferret,"['Europe', 'North-America']",Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela furo,"Mice, rats, gophers, birds, small mammals, small birds, small reptiles, small amphibians.",Pups,Solitary,Unknown,Other household pets,"Long thin body, small nose, long and shiny fur.",Ferret,42 days,"Forests, grasslands.",Carnivore,,,Angora ferret,1.0,,,,BrownBlackWhiteSandy,Fur,15 mph,5-9 years,1.5 – 4.5 lbs.,18 – 21 inches,4 – 8 months,7+ weeks,8,"Wolves, dogs.",Mammal,,,,,,,,,,,,,,,,,,,,,
Angora Goat,"['Africa', 'Asia', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,Kid,Herd,,Coyotes,Angora goats produce mohair fiber.,Angoras,150 days,Farms,Herbivore,,,Angora goats,1.0,Worldwide,,Flock,RedBlackWhite,Hair,,10 years,82kg-100kg (180lbs-220lbs),127cm(50in),6-7 months,4-6 months,1,Coyotes,Mammals,91cm-122cm(38in-48in),,,,,,,,,,,,,,,,,,,,
Anole Lizard,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,,Insects,hatchlings,,,Other reptiles,"On most species, the brightly colored dewlap on the neck of the males","American green anole, Carolina green anole, American anole, Carolina anole, North American green anole, red-throated anole, American Chameleon",,,Omnivore,,,Anole Lizard,,The Americas,,Territorial,BrownRedWhiteTanGreen,Scales,,2 - 7 years,,4 - 20 in.,18 months,,1 - 2 eggs,"Snakes , other Reptiles , Birds",Reptile,0.5 in. - 2 in.,,,,,,,,,,,,,,,,,,,,
Ant,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,Formicidae,,,,,,,,,Soil and cavities in wood and plants,Omnivore,"1,000",,Ant,12000.0,Worldwide,First evolved 100 million years ago!,,BrownRedBlack,Shell,,,,2mm - 25mm (0.08in - 1in),,,,"Insects, Echidna, Anteater",,,,,,,,,,,,"Leaves, Fungi, Insects",,,,,,Leaves,,,,
Antarctic scale worm,['Ocean'],Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Eulagisca,Eulagisca gigantea,"pantopoda sea spiders, fish and other marine life",,Solitary,,predators,overlapping scales and golden bristles,"bristle worms, gold scale worms or polychaetes",,"Antarctica and the Southern Ocean at a depth of 1,706 to 2,198 feet (520 to 670 meters)",Carnivore,,,Antarctic scale worm,1.0,"Antarctica, the Southern Ocean",,,YellowGoldGrey-Brown,Bristled hairs,,,unknown,20cm,unknown,,,Cock shrimp,Annelid,10cm,,,,,,,,,,,,,,,,,,,,
Anteater,"['Central-America', 'South-America']",Animalia,Chordata,Mammalia,Xenarthra,Myrmecophagidae,Tamandua,Myrmecophaga Tridactyla,,,,,,,,,Forest and grasslands,Omnivore,1,Solitary,,,,Found throughout the Southern Hemisphere!,,BrownGreyBlackTan,Fur,18 mph,9 - 20 years,18kg - 40kg (40lbs - 88lbs),0.9m - 2.1m (3ft - 7ft),,,,"Puma, Snakes, Jaguar",Mammal,,Elongated snout and long sticky tongue,,,,,,,,,"Ants, Termites, Insects",,,,,,Ants,,,,
Antelope,"['Africa', 'Asia', 'Eurasia', 'North-America']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,,,,,,,,,,,Forest and grasslands,Herbivore,1,Herd,,,,Renew their horns every year!,,BrownRedTan,Fur,43 mph,10 - 25 years,"500kg - 900kg (1,100lbs - 2,000lbs)",,,,,,Mammal,1m - 1.5m (3 - 5ft),Long legs and curved antlers,,,,,,,,,"Grass, Shoots, Seeds",,,,,,Grass,,,,
Ape,"['Africa', 'Asia']",Animalia,Chordata,Mammalia,Primates,Hominidae,,Hominoidea,Varies,"Infant, baby",Community-minded,Various,Humans,Varies,Varies,Eight months,"Mountains, rainforests, forests",Herbivore,,,,26.0,Africa and Asia,,Tribe,BrownRedBlueBlackGreen,,,50 years; longer for humans,Varies,Varies,,,One,"Crocodiles, Eagles, big cats",,Varies,,,,,,,,,,,,,,,,,,,,
Appenzeller Dog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,6,,Appenzeller Dog,,,Herding dog by nature!,Sennenhund,BlackWhiteTan,Hair,,12 – 14 years,,,,,,,,,,Energetic and alert,Should be trained from an early age and respond best to firm and consistent training,,,,,,,,,,,,,,Switzerland,,,
Apple Head Chihuahua,['Central-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,FawnRedBlueBlackGoldTanCreamSilverChocolate,Hair,,14 to 16 years,6 lbs,,,,,,,,,"Sassy, courageous and loyal",,,,,,,,,,,,,,,,,,
Arafura File Snake,"['Asia', 'Oceania']",Animalia,Chordata,Reptilia,Squamata,Acrochordidae,Acrochordus,Acrochordus arafurae,Fish,,,,,,,,,Omnivore,10 to 27,,Elephant trunk snake,,,,,,,,10 years,,Fish,,,,,,,Gray with black splotches,,,,,,,No,Low,,,,,,,,,,,
Arapaima,['South-America'],Animalia,Chordata,Actinopterygii,Osteoglossiformes,Arapaimidae,Arapaima,,"fish, insects, seeds",,Solitary,,"Overfishing, habitat destruction",,Pirarucu,,,Omnivore,,,Arapaima,4.0,,,,RedBlackGreenLight-Brown,Scales,,20 years,200kg-220kg (440lbs - 485lbs),10ft-15ft (3m-4.5m),,,,"humans, caimans",Bonytongue,,Red tail,,,,,,,,,,Fresh,,,,,,,,6.0 - 6.5,
Arctic Fox,"['Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes lagopus,,kit,,,,,,,Polar forest regions,Carnivore,5,Solitary,,,,Extremely thick winter fur!,,GreyBlackWhite,Fur,30 mph,7 - 10 years,1.4kg - 9.4kg (3lbs - 21lbs),70cm - 110cm (28in - 43in),,,,"Snowy Owl, Wolf, Polar Bear",Mammal,,Thick fur that changes colour with season,,,,,,,,,"Lemmings, voles, hares, other small rodents, berries, insects",,,,,,Lemmings,,,,
Arctic Hare,['North-America'],Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus Arcticus,,,,,,,,,Tundra and rocky areas,Herbivore,6,Herd,,,,Eats berries found in the snow!,,GreyWhite,Fur,40 mph,3 - 8 years,4kg - 5kg (9lbs - 12lbs),48cm - 67cm (19in - 26in),,,,,Mammal,,Thick fur that changes colour with seasons,,,,,,,,,"Grass, Willow, Flowers",,,,,,Grass,,,,
Arctic Wolf,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canus Lupus Arcticus,,,,,,,,,Grass plains and tundra forests,Carnivore,4,Pack,,,,Incredibly versatile and adaptive!,,GreyWhite,Fur,46 mph,7 - 10 years,25kg - 40kg (55lbs - 88lbs),60cm - 91cm (24in - 36in),,,,Human,Mammal,,,,,,,,,,,"Deer, Elk, Moose",,,,,,Deer,,,,
Arizona Bark Scorpion,"['Central-America', 'North-America']",Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruriodes,Centruroides sculpturatus,"insects, spiders, centipedes and other scorpions",scorplings,Colonial Nesting,,natural predators and pesticides,"2 pedipalps like ""crab claws""",,9 months,deserts,Carnivore,,,Arizona Bark Scorpion,1.0,"California, Arizona, New Mexico and Mexico",,,Light-Brown,Exoskeleton,,5-7 years,2 ounces,7-8 centimeteres,1 year,1 to 3 weeks (leaves mother's back),up to 30,,Anthropod,less than 0.25 inches,,,,,,,,,,,,,,,,,,,,
Arizona Black Rattlesnake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. cerberus,"Lizards, amphibians, small mammals, and occasionally birds.",Neonate,Semi-socialCommunity-minded,,,,"Arizona black rattlesnake, black rattlesnake, black diamond rattlesnake, brown rattlesnake, Cerberus rattlesnake, mountain diamond-back; often called a timber rattlesnake.",,"Forests, leaf litter",Carnivore,,DiurnalSolitarySociableor Nocturnal Depending on Region and Season,,,,,,BrownGreyYellowFawnRedOlive-GreyGrey-Brown,Scales,,15-20 years,,2-4 feet,,,4-10,"Hawks, other snakes, coyotes, and other predators.",,,,Docile,,,,,,Yes,Low,,,,,,,Small mammals,,,,
Armadillo,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypodidae,,,,,,,,,Forest and grasslands,Omnivore,4,Solitary,,,United States,"Can curl into a hard, protective ball!",,GreyBlackPink,Boney Plates,30 mph,4 - 12 years,4kg - 30kg (9lbs - 66lbs),36cm - 75cm (14in - 30in),,,,"Bear, Wolf, Coyote",Mammal,,Armoured plated skin and can curl into a ball,,,,,,,,,"Insects, Ants, Termites",,,,,,Insects,,,,
Armadillo Lizard,['Africa'],Animalia,Chordata,Reptilia,Squamata,Cordylidae,Ouroborus,Ouroborus cataphractus,Mainly desert insects,Baby,Group,Unknown,Black market poaching,"Scaled, spiky shell","Armadillo girdled lizard, Golden-armadillo lizard, dragon armadillo lizard",Two months,South African deserts,Carnivore,,,Armadillo lizard,,Desert,,Squamata,YellowBlackDark BrownLight-Brown,Scales,-1 mph,"In captivity, 25 years",2.5–3.5 oz,Up to 3.75 inches,3 to 4 years,,1-2,Birds of prey,Reptile,,,,,,,,,,,,,,,,,"Desert insects, scorpions, plants",,,,
Armyworm,"['Africa', 'Asia', 'Central-America', 'Europe', 'North-America', 'South-America']",Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna unipuncta,,larva,Solitary,,pest control,Five stripes of various colors running the length of the body,"true armyworm moth, white-speck moth, common armyworm or rice armyworm",3.5 to 6.5 days (egg to larva),Agricultural crops and weedy grasses,Herbivore,,,armyworm,30.0,"Americas, southern Europe, central Africa, and western Asia",,solitary,Olive-GreyGrey-Brown,Hair,62 mph,36-95 days,0.026 to 0.18 grams,"0.063in to 1.5in larvae, 1.5in wingspan as adult",30-50 days,,500 to 1500 eggs per adult female,"humans with pesticide treatments, bats, ground beetles, ants, spiders, bobolink blackbirds, starlings, crows; wasp and fly parasitoids; bacterial and fungal diseases",Insect,,,,,1.5 inches,,,,,,,,,,,,,,,,
Aruba Rattlesnake,['South-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. unicolor,"small rodents, birds, and lizards",Neonates,,Unknown,Human encroachment,,,About four months,"Dry, rocky areas on the island",Carnivore,,Nocturnal/Crepuscular,,,Aruba,,,BrownGreyFawn,Scales,,,,2-3 feet,,,5-15,Birds of prey,,,,Mild-mannered,,,,,,Yes,Low,,,,,,,,,,,
Asian Cockroach,"['Asia', 'North-America']",Animalia,Arthropoda,Insecta,Blattodea,Ectobiddae,Blattella,Blattella asahinai,Decaying plant and animal matter,Nymph,Colony,,Extermination by humans,Body length wings,Roach,19 days,,Omnivore,,,Roach,1.0,North America and Japan,,Cockroach,Brown,Exoskeleton,3 mph,3-6 months,0.105 g,0.5-.75 in,60-70 days,,35-40 eggs per egg case,,Insect,0.25 in,,,,,,,,,,,,,,,,,,,,
Asian Elephant,['Asia'],Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas maximus,,,,,,,,,Rainforest and tropical woodland,Herbivore,1,Herd,,,,Domesticated for hundreds of years!,,BrownGreyBlack,Leather,27 mph,55 - 70 years,"3,000kg - 5,000kg (6,500lbs - 11,000lbs)",,,,,"Human, Tiger",Mammal,2m - 3m (7ft - 10ft),Long trunk and large feet,,,,,,,,,"Grass, Fruit, Roots",,,,,,Grass,,,,
Asian Giant Hornet,['Asia'],Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa mandarinia,"Bees, Honeybees, Insects, Wasps",Larvae,Colony,Unknown,Habitat loss,,Giant Sparrow Bee,,Dense woodland,Carnivore,,Diurnal,Asian Giant Hornet,1.0,Eastern Asia,The largest wasp in the world!,Wasp,BrownYellowRedBlackOrange,Shell,,3 - 5 months,,2.7cm - 5.5cm (1.1in - 2.2in),1 year,,,Human,,,Wide black and orange body and large mandibles,,,,1 week,,,,,,,10 days,50,,,,,,,
Asian Palm Civet,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus,Paradoxurus hermaphroditus,,,,,,,,,Tropical rainforest,Carnivore,2,Solitary,,,,It mainly eats mangos and coffee!,,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,,,,"Lions, Snakes, Leopards",Mammal,43cm - 71cm (17in - 28in),"Elongated body and snout with sharp, pointed teeth",,,,,,,,,"Rodents, Snakes, Frogs",,,,,,Rodents,,,,
Asian Vine Snake,['Asia'],Animalia,Chordata,Reptilia,Squmata,Colubridae,Ahaetulla,Ahaetulla prasina,"Frogs, lizards, insects, small birds",Neonate or snakelets,,Unknown,None,Pencil-thin body,"Gunther’s whip snake, Oriental whip snake, and Boie’s whip snake",,,Carnivore,,,Asian vine snake,,,,,YellowBlueGreen,Scales,,5 - 12 years,,2.5 - 5 feet,,,,,,,Their head is spear-shaped and pointed,,,,,,,Yes,Low,Frogs,,,,,,,,,,
