name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,coordenadas
Red-Eared Slider,"['Africa', 'Asia', 'Central-America', 'Europe', 'North-America', 'Oceania']",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,Trachemys scripta elegans,"Insects and their larvae, spiders, crawfish, freshwater clams and sponges, eggs, snails, fish, slugs, small amphibians and reptiles",hatchling,Solitary,millions,none,The red stripe behind its ear,none,60 to 95 days,"In forests or savannas near freshwater bodies. The water needs to be shallow, sluggish and full of plant and animal life and places for the turtle to bask.",Omnivore,Unknown,Unknown,Red-eared slider,Unkown,Unknown,Unknown,Unknown,YellowGreen,Shell,12 mph,30 years,8.5 ounces,5 to 8 inches but can grow to 12 inches. Females are larger.,"Two to five years for males, five to eight years for females",Unknown,Two to 20 eggs,"Snakes, alligators, waterbirds, crows, opossums, large fish, skunks, raccoons, minks, otters, foxes, armadillos, coyotes and humans. White tailed deer and foxes eat their eggs.",reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Key Deer,['North-America'],Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus,none,fawn,Solitary,700-800,vehicle collisions,small size,toy deer,7 months,"pine rocklands, woodlands, wetlands",Herbivore,Unknown,Unknown,key deer,1.0,Florida Keys,Unknown,herd,BrownWhiteGrey-Brown,Fur,26 mph,7-9 years,44-85 pounds,Unknown,6 months- 1.5 years,12-16 weeks,1,"Alligator, Crocodile",Unknown,24-32 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Arizona Black Rattlesnake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. cerberus,"Lizards, amphibians, small mammals, and occasionally birds.",Neonate,Semi-socialCommunity-minded,Unknown,Unknown,Unknown,"Arizona black rattlesnake, black rattlesnake, black diamond rattlesnake, brown rattlesnake, Cerberus rattlesnake, mountain diamond-back; often called a timber rattlesnake.",Unknown,"Forests, leaf litter",Carnivore,Unknown,DiurnalSolitarySociableor Nocturnal Depending on Region and Season,Unknown,Unkown,Unknown,Unknown,Unknown,BrownGreyYellowFawnRedOlive-GreyGrey-Brown,Scales,Unknown,15-20 years,Unknown,2-4 feet,Unknown,Unknown,4-10,"Hawks, other snakes, coyotes, and other predators.",Unknown,Unknown,Unknown,Docile,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Small mammals,Unknown,Unknown,Unknown,Unknown,
Bobolink,"['North-America', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,Dolichonyx oryzivorus,Insects and insect larvae,Unknown,Unknown,9.7 million,"Habitat destruction, climate change","Its song, which sounds like “Bob o’ Lincoln.”","Armyworm bird, reedbird, rice bird, butterbird",Unknown,"Wetlands, prairies, grassy fields",Omnivore,Unknown,Unknown,Bobolink,1.0,"Canada and northern United States in the spring, South America in the winter",Unknown,Unknown,BlackCreamLight-Brown,Feathers,45 mph,average of five years,one ounce,6.3 to 7.1 inches,Unknown,Unknown,3-7,"Skunks, birds of prey, raccoons, snakes",bird,Unknown,Unknown,Unknown,Unknown,11.5 inches,10-13 days,Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,On the ground among the grass,one week,Unknown,Unknown,1.0,Unknown,Unknown,
Black-Footed Ferret,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela nigripes,"Prairie dogs, ground squirrels, birds, insects",Kit,Solitary,206 mature individuals,"Habitat loss, trapping",Black mask,"American polecat, Prairie dog hunter",41-43 days,"Grasslands, plains",Carnivore,Unknown,Unknown,Black Footed Ferret,Unkown,North America,Unknown,Unknown,BlackWhiteCream,Hair,Unknown,48 months,1.5-2.5 lbs,18-24 inches,1 year,4 months,3-4,"Badgers, coyotes, golden eagles, bobcats, and owls",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Cuban Cockroach,['Central-America'],Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Panchlora,Panchlora nivea,none,nymphs,Group,Unknown,"Humans, birds, rats",light green color,green banana cockroach,48 days,"Trees, shrubs, and other damp/dark places in tropical environments",Omnivore,Unknown,Unknown,"Cuban cockroach, green banana cockroach",1.0,"Cuba, the Caribbean, southern United States coast",Unknown,Group,YellowGreen,Exoskeleton,4 mph,Unknown,Unknown,Unknown,Unknown,Unknown,28-60 eggs,"birds, rats",Insect,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Gnat,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Diptera,Unknown,Unknown,Unknown,Unknown,Larvae,Solitary/Group,Unknown,Unknown,The slender wings,"Midge, punkie, and more",A week or two,Usually near water or wet soil,Omnivore,Unknown,Unknown,Gnat,Unkown,Worldwide,Unknown,Unknown,BrownGreyRedBlack,Exoskeleton,Unknown,1-2 months,1-10mg,Up to 33mm (1.2in),A few weeks,Unknown,"Up to 1,000 eggs per lifetime","Insects, spiders, reptiles, frogs, mammals, fish, and birds",Insect,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fruit, leaves, vegetables, fungi, and other organic matter",Unknown,Unknown,Unknown,Unknown,
Clouded Leopard,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Neofelis,Neofelis nebulosa,"Rodents, Monkeys, Deer",Kitten,Solitary,"Less than 10,000",Hunting and habitat loss,Dark cloud-like markings and long tail,Sunda Clouded Leopard,87 - 102 days,Dense tropical forest and jungle,Carnivore,3,Nocturnal/Crepuscular,Clouded Leopard,2.0,South-east Asia,Has canines that can be two inches long!,Mammal,BrownGreyYellowBlackTawny,Fur,40 mph,11 - 17 years,11kg - 30kg (24lbs - 66lbs),60cm - 110cm (24in - 43in),2 - 3 years,9 months,Unknown,"Tigers, Leopards, Humans",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Rat,"['Africa', 'Antarctica', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Underground close to human settlements,Omnivore,8,Solitary,Unknown,Unkown,Unknown,Omnivores that eat anything!,Unknown,BrownGreyBlackWhite,Fur,8 mph,2-5 years,200-900g (0.4-2lbs),Unknown,Unknown,Unknown,Unknown,"Owls, Snakes, Raccoon, Cats",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Eggs, Nuts, Potatoes, Corn",Unknown,Unknown,Unknown,Unknown,Unknown,Eggs,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha parvipes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Saanen Goat,['Europe'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,grass and legume,kid or billy,Unknown,"900,000",Unknown,white skin and short white coat,"Saanenziege, Chèvre de Gessenay, and Capra di Saanen",Unknown,cool weather and hilly terrain,Omnivore,2,HerdFlock,saanen goat,8.0,Unknown,Unknown,herd,WhiteCream,Hair,Unknown,about 10 years,Unknown,Unknown,9 months,12 months,Unknown,"Coyotes, bobcats, wild dogs, and wolves",mammal,30 inches,Unknown,calm,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Switzerland,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella dorsalis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Mastador,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BrownYellowBlackBrindle,Hair,Unknown,12-15 years,160 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Friendly, active, and intelligent",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Sea Otter,['Ocean'],Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra,Enhydra Lutris,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unpolluted areas close to the shore,Omnivore,1,Solitary,Unknown,Unkown,Unknown,Eats over 40 different marine species!,Unknown,BrownBlackTan,Fur,7 mph,12-15 years,14-45kg (30-100lbs),Unknown,Unknown,Unknown,Unknown,"Sharks, Humans, Killer Whales",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Sea Urchins, Clams, Crabs, Seaweed",Unknown,Unknown,Unknown,Unknown,Unknown,Sea Urchins,Unknown,Unknown,Unknown,Unknown,
Springbok,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis,Unknown,Calves,Herd,Up to 2.5 million,Hunting,The large curved horns on the top of the head,Unknown,4-6 months,Savannas and deserts,Herbivore,Unknown,Unknown,Springbok,1.0,Southern Africa,Unknown,Unknown,BrownBlackWhite,Hair,55 mph,7-9 years on average,27-48kg (59-106lbs),1-1.5m (4-4.5ft),200-400 days,4 months,1-2 calves,"Cheetahs, lions, leopards, hyenas, caracals, jackals, wild dogs, and eagles",Mammal,69-87cm (27-34in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Grasses, leaves, and flowers",Unknown,Unknown,Unknown,Unknown,
Corn Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,P. guttatus,"Rats, mice, baby birds, eggs",Hatchling,Solitary,Unknown,Unknown,"Shield pattern on their back, and","Red cornsnake, chicken snake, red rat snake, eastern corn snake.",Unknown,"Forested areas, fields, swamps, hardwood hammocks, neighborhoods bordering habitat.",Carnivore,Unknown,Diurnalor Nocturnal Depending on Region and Season,"Corn snake, red rat snake, eastern red rat snake, Slowinski's rat snake, .",2.0,Unknown,Unknown,Unknown,BrownGreyRedBeigeLight-Brown,Scales,Unknown,"15 years in captivity, less in the wild",Unknown,Unknown,Unknown,Unknown,10-30,"Birds of prey, other carnivores, some snakes, coyotes, cats.",Unknown,Unknown,Unknown,Relatively docile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rats and mice,Unknown,Unknown,Unknown,Unknown,Unknown,Rats and mice,Unknown,Unknown,Unknown,Unknown,
Walleye Fish,['North-America'],Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Sander,Sander vitreus,"Fish, insects",Unknown,School,Unknown,Climate change,"Large, glassy eyes","Yellow pike, yellow pickerel",12-30 days,"Lakes, streams, rivers",Carnivore,Unknown,Nocturnal,Walleye,1.0,Unknown,Unknown,Unknown,WhiteGoldGreen,Scales,50 mph,240 months,20lb,0.7m-0.9m (2.2ft-2.8ft),Unknown,Unknown,Unknown,"Humans, birds, fish",Perciforme,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6.0-8.0,Unknown,
Silky Terrier,['Oceania'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,GreyBlueBlackTanSilver,Hair,Unknown,12 – 15 years,10 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Proud and opinionated,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Spanador,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Corgipoo,['North-America'],Animalia,Chordata,Mammalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Guppy,"['Central-America', 'South-America']",Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia reticulata,"Algae, plant particles, mosquito larvae",Unknown,School,Unknown,Water pollution,Unknown,"Rainbow fish, millionfish",3-4 weeks,"Streams, shallow pools near bigger bodies of water",Omnivore,Unknown,Unknown,Guppy,276.0,Unknown,Also known as the Millionfish!,Unknown,YellowRedBlueBlackWhiteGreenOrangeMulti-colored,Scales,Unknown,2 years,Less than 1 gram,0.6 - 2.4 inches,Unknown,Unknown,Unknown,"Birds, larger fish",Cyprinodontiformes,Unknown,Brightly coloured body and fins and give birth to live young,Unknown,Unknown,Unknown,Unknown,Unknown,80.0,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Algae,Unknown,Unknown,5.0 - 7.0,Unknown,
Killer Whale,['Ocean'],Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcinus,Orcinus orca,Unknown,Unknown,Pod,Unknown,Unknown,Unknown,Unknown,Unknown,Ocean and coastal waters worldwide,Carnivore,1,Pod,Unknown,Unkown,Unknown,Typically consumes over 200 kg of food a day!,Unknown,BlackWhite,Smooth,30 mph,50-60 years,"6,804-8,618kg (15,000-19,000lbs)",Unknown,Unknown,Unknown,Unknown,"Human, Larger Sharks",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Seal, Fish, Squid",Salt,Unknown,Unknown,Unknown,Unknown,Seal,Unknown,Unknown,Unknown,Unknown,
Platypus,['Oceania'],Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,"Insect larvae, tadpoles, small fish",Baby Platypus,Solitary,"300,000",Habitat loss,Bill that looks like the beak of a duck,Duck-Billed Platypus,2 - 3 weeks,Freshwater rivers and streams,Carnivore,2,Nocturnal,Platypus,1.0,Eastern Australia and Tasmania,One of the only mammals to lay eggs!,Mammal,Dark Brown,Fur,22 mph,9 - 12 years,0.7kg - 2.4kg (1.5lbs - 5.3lbs),Unknown,2 years,5 months,Unknown,"Birds of prey, dogs, crocodiles",Unknown,39cm - 60cm (15.4in - 23.6in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Heron,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Wetland regions,Carnivore,Unknown,Solitary,Unknown,Unkown,Unknown,Inhabits wetlands around the world!,Unknown,BrownGreyBlackWhite,Feathers,40 mph,15 - 20 years,1.5kg - 3kg (3.3lbs - 6.6lbs),Unknown,Unknown,Unknown,Unknown,"Fox, Mink, Raccoon",Bird,85cm - 140cm (34in - 55in),Long thin legs and pointed beak,Unknown,Unknown,Up to 91in,A month,Unknown,Unknown,Unknown,Unknown,"Fish, Insects, Molluscs",Unknown,Unknown,Unknown,"Bushes, cliffs, or trees",2-3 months,Fish,Unknown,1.0,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca heptabrachiata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Copperhead,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,Agkistrodon contortrix,"Insects, lizards, mice, voles, shrews, snakes, small turtles, salamanders, frogs, small birds, baby squirrels, rabbits and opossums, chipmunks, bats, moles, carrion",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,"Copperhead, rattlesnake pilot, thunder snake, moccasin, highland or dry-land moccasin",Unkown,Unknown,Unknown,Unknown,TanDark BrownPinkLight-Brown,Scales,Unknown,Lifespan of 15 to 29 years,Unknown,Unknown,Unknown,Unknown,One to 21,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Cookiecutter Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Squaliformes,Dalatiidae,Isistius,Unknown,"large squid, gonostomatids, crustaceans",Unknown,Solitary,Unknown,Ocean pollution,Cookiecutter sharks glow,Cigar shark,Unknown,Ocean,Carnivore,Unknown,Unknown,Cigar shark,2.0,Unknown,Unknown,Unknown,Brown,Rough,Unknown,Up to 25 years,Unknown,14-22 inches,Unknown,Unknown,Unknown,large sharks and bony fish,Dalatiidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,"Marlin, tuna, other sharks, stingrays, seals and whales",Unknown,Unknown,Unknown,Unknown,
Red Tail Boa (common boa),"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Boidae,Boa,Boa constrictor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,boa constrictor,Unkown,Unknown,Unknown,Unknown,BrownGreyCreamMulti-colored,Unknown,Unknown,20-30 years,Unknown,Unknown,Unknown,Unknown,10-65,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Golden Lion Tamarin,['South-America'],Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontopithecus,Leontopithecus rosalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Lowland tropical forest,Omnivore,2,Troop,Unknown,Unkown,Unknown,Native to the eastern rainforests of Brazil!,Unknown,BrownBlackGoldOrange,Hair,24 mph,8-15 years,550-700g (19-25oz),Unknown,Unknown,Unknown,Unknown,"Hawks, Wild Cats, Snakes, Rats",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fruit, Insects, Small Mammals, Small Reptiles",Unknown,Unknown,Unknown,Unknown,Unknown,Fruit,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella vandenbrandei,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina megalotrocha,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Chorkie,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10 to 15 years,10 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,loyal and protective,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus hippocrepis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus coenobasis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella tyleri,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Airedale Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,8,Unknown,Airedale Terrier,Unkown,Unknown,"Very intelligent, independent and strong-minded!",Dog,BrownBlackTan,Hair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Terrier,Unknown,Long muzzle and square body,"Friendly, adaptable and courageous",Fairly Easy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
