name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos
Hammerhead Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,,Sphyrnidae,"crustaceans, fish, cephalopods, stingrays",,Solitary/School,Unknown,"Overfishing, shark culling",Hammer-shaped head,sphyrnids,10-12 months,"coastal, continental shelves",Carnivore,26,Herd,hammerhead shark,10.0,,Found in coastal waters around the world!,,BrownGreyWhiteGreen,Skin,20 mph,20-30 years,300lbs-1000lbs,0.9m-6.1m (3ft-20ft),,,,"Tiger Shark, Great White Shark, Killer Whale, Humans",sphyrnids,,,,,,,,,Salt,,,Fish,,,,,,1,0,0
Horn Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Heterodontiformes,Heterodontidae,Heterodontus,Heterodontus francisci,Fish and invertebrates,,Solitary,Unknown,Accidental bycatch,The ridges along the eyes,,6-9 months,Kelp beds and rocks close to the shore,Carnivore,20,,Horn Shark,1.0,,Endemic to the Californian coast!,,BrownGreyYellowBlack,Smooth,,"12 years in captivity, perhaps 25 or even 50 years in the wild",20 pounds,70cm - 120cm (27.5in - 47in),,,,"Sharks, seals, and eagles",Shark,,,,,,,,,Salt,,,Molluscs,,,7 - 8,,,1,0,0
Manta Ray,['Ocean'],Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Manta,,Zooplankton,,Solitary,,"Fishing, harvesting for international trade","Broad, flat bodies",Devil fish,12 to 13 months,All world oceans,Carnivore,,,Manta Ray,2.0,,Can grow up to 9m wide!,,GreyBlueBlackWhite,Smooth,20 mph,50 years,"5,300 pounds",23 feet,,,,"Sharks, Humans, Killer Whales",Fish,,,,,2.0,,,"Fish, Plankton, Shrimp",Salt,,,,,,6 - 9,,,1,0,0
Megalodon,[],Animalia,Chordata,Chondrichthyes,Lamnifores,Otodontidae,Otodus,Otodus megalodon,"Baleen whales, toothed whales, sea turtles, sharks",,Solitary,Extinct,,,,,Coastal ocean waters,Carnivore,,Solitary,,,Fossils found in oceans across the world,The largest shark to ever live!,,,Tough,,Unknown,"'Conservatively' estimated at 100,000 pounds",Estimated at 50 feet,,,,Livyatan,,,,,,,,,Baleen whales,Salt,,,,,,,,,1,0,0
Megamouth Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Lamniformes,Megachasmidae,Megachasma,Megachasma pelagios,,,Solitary,Unknown,Incidental bycatch,Tremendously large mouth full of teeth,Big mouth shark,Unknown,Oceans,Carnivore,,,Megamouth shark,1.0,,,,BrownBlackWhite,Rough,1.3 mph,,"1,760lbs",13ft-18ft,,,,,Cetorhinidae,,,,,,,,"Plankton, jellyfish, shrimp, copepods",,,,,,,,,,1,0,0
Nurse Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,Ginglymostoma cirratum,,,,,,,,,Warm waters and tropical coastal regions,Carnivore,20,Solitary,,,,Commonly found in Central American waters!,,BrownGreyBlackWhite,Smooth,25 mph,20-25 years,90-150kg (198-330lbs),,,,,"Human, Bull Shark, Tiger Shark",Fish,,,,,,,,"Squid, Fish, Octopus",,,,Squid,,,,,,1,0,0
Porbeagle Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Lamna,Lamna nasus,"Bony fish, squid, shell fish, and sharks",,Solitary,Unknown,Overfishing,"The massive, blade-like teeth","Atlantic Mackerel Shark, Bottle-nosed Shark, and Blue Dog",8 to 9 months,Oceans,Carnivore,,,Porbeagle Shark,1.0,,,,GreyBlueWhite,Rough,20 mph,,Up to 500lbs,1.5-3.6m (5-12ft),,,,Humans,Shark,,,,,,,,,Salt,,,,,,,,,0,1,0
Reef Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,,,"Bony fish, octopus, squid, rays and stingrays, sea lions, marine iguanas, trash, shrimp and crabs",,Solitary/Group,"Tens of thousands, but populations are declining","Habitat destruction, pollution, overfishing",Their beauty,"Blunt head shark, light-tip shark, whitetip shark, reef whitetip shark, blacktip shark, black-finned shark, blackfin reef shark, reef blacktip shark, guliman, black-vee whaler, bronze whaler, Fowler's whaler shark, graceful shark, graceful whaler shark, school shark, longnose blacktail shark, shortnose blacktail shark",7 to 14 months,"Coral reefs, lagoons, mangroves, grassy sea bed",Carnivore,,,Reef shark,5.0,,,,GreyWhiteGrey-Brown,Rough,31 mph,13 to 25 years,30 to 430 pounds,5.2 to 11 feet in length,,,,"Humans, other sharks",Fish,,,,,,,,,Salt,,,,,,8.1,,,1,0,0
Salmon Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Lamna,Lamna ditropis,fish,,Solitary,unknown,humans,"short snout, two keels",Pacific Porbeagle,9 months,"marine, ocean",Carnivore,,,Salmon Shark,1.0,,,,GreyWhite,Plate-like scales,50 mph,20-27 years,210lbs-660lbs,1.8m - 3m (6ft - 10ft),,,,"humans, other sharks",fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Sand Tiger Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Lamniformes,Odontaspididae,,,"Bony fish, other sharks, crustaceans, squid, skates and rays",,Solitary/Group,"Unknown, but its population decreased by 20 percent in just the last decade due to overfishing.",Humans,It gulps air to keep buoyant.,"spotted ragged-tooth shark, blue-nurse sand tiger, grey nurse shark, spotted sand tiger shark, chien de mer, dogfish shark, slender-tooth shark, magonga, requin taureau, ground shark",Eight to twelve months,Shallow tropical and temperate waters close to the shore,Carnivore,,,Sand tiger shark,4.0,,,,Grey-Brown,Rough,0.87 mph,13 to 35 years,110 to 660.79 pounds,6.6 to 10.5 feet,,,,,Fish,,,,,,,,,,,,,,,,,,1,0,0
Sawfish,['Ocean'],Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Pristidae,,,fish and crustaceans,,Solitary,,Poaching,Ridged rostrum,Carpenter sharks,12 months,Coastal,Carnivore,,,Sawfish,5.0,,,,BrownGrey,Scales,,30 years,"500 - 1,300 lbs",18 - 25 ft,,,,"Crocodiles, sharks, and dolphins",rhinopristoform,,,,,,,,,Salt,,,,,,,,,1,0,0
Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,,,,,"Sea lion, seals, humans, small fishes, and invertebrates",,,,"Killer whales, sperm whales and humans",,,Two years,,Carnivore,,,Shark,,USA and Australian waters mostly,,,GreyYellowBlackWhiteCream,Rough,,20-30 years,1500 to 4000 pounds,5.8 to 7 feet,,,,,Fish,,,,,,,,,,,,"Sea lion, seals, humans, small fishes, and invertebrates",,,,,,1,0,0
Sixgill shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Hexanchiformes,Hexanchidae,Hexanchus,,"Fish, sharks, rays, and crustaceans",,Solitary,Unknown,Overfishing,The massive rows of comb-like teeth,Cow Shark,Longer than 2 years,Oceans,Carnivore,,,Sixgill Shark,3.0,,,,BrownGreyBlackWhiteGreen,Rough,,Up to 80 years,"Up to 1,600lbs",Up to 6m (20ft),,,,"Humans, orcas, sharks, dolphins, and sea lions",Shark,,,,,,,,,Salt,,,,,,,,,1,0,0
Skate Fish,[],Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,,,"Crustaceans, cephalopods, fish, mollusks",,Solitary,,Ocean Trawling,Flat body type that's similar to stringrays,,Eggs take 3 to 5 months to hatch depending on species,Generally found in along continental shelfs,Carnivore,,,,,Oceans across the world,More than 200 species exist!,,Brown,Hair,,Up to 100 years,Up to 200 pounds (big skate),Up to 8 feet,About 10 years (common skate),,Up to 40 eggs,Sharks,,,,,,,,,,Salt,,,,Believed to have first evolved in the Jurassic Period (200 to 145 million years ago),,,,,1,0,0
Sleeper Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,,,"Fish, seals, and mollusks",,Solitary,Unknown,Overfishing,The sharp dagger-like teeth,Greenland Shark,Varies,Oceans,Carnivore,,,Sleeper Shark,20.0,,,,GreyBlueWhiteLight-Brown,Scales,1.6 mph,Up to 500 years,"Up to 2,000 pounds",Up to 20 feet,,,,"Humans, Killer Whales, other sharks",Shark,,,,,,,,,,,,,,,Varies,,,1,0,0
Spinner Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus brevipinna,,,Group,Uncertain,"Human exploitation, habitat loss",Jumping and spinning,"Blacktip shark, longnose gray whaler",11 to 15 months,Tropical and warm temperate waters,Carnivore,,,Spinner shark,,,,,GreyBlackLight-Brown,Tough,,15 to 20 years,120 to 200 pounds,6 to 9 feet,,,,Humans,,,,,,,,,,Salt,,,"Small bony fish ponds, streams, ocean, etc",,,,,,1,0,0
Stingray,['Ocean'],Animalia,Chordata,Chondrichthyes,Myliobatiformes,,,,"Snails, clams, and squids",,Solitary,Not known,"Sea lions, seals, sharks, and other large fish",,,Three months,Black and Mediterranean Seas,Carnivore,8,Solitary,Stingray,200.0,,It's stinger is razor-sharp or serrated!,,BrownGrey,Scales,30 mph,15 - 25 years,25kg - 97kg (55lbs - 214lbs),50cm - 200cm (19.6in - 79in),,,,"Sea lions, seals, sharks, and other large fish",Fish,,Flattened body shape and venom filled tail,,,,,,,,,,"Snails, clams, and squid",,,,,,1,0,0
Tiger Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Galeocerdo,Galeocerdo Cuvier,,,,,,,,,Tropical coastal waters,Carnivore,35,Solitary,,,,The fourth biggest species of shark in the world!,,BrownGreyBlackWhite,Smooth,20 mph,30-40 years,"385-635kg (850-1,400lbs)",,,,,Human,Fish,,,,,,,,"Squid, Fish, Turtles",,,,Squid,,,,,,1,0,0
Viper shark (dogfish),['Ocean'],Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Trigonognathus,Trigonognathus kabeyai,Bony fish,,,Not recorded,"Bigeye tuna, sickle pomfret.",Triangular jaw and fang-like teeth,"Viper dogfish, viper shark.",,"Deep water, upper continental slopes, seamounts.",Carnivore,,,Viper dogfish,1.0,,,,Black,Rough,,,Up to 1.7 lbs.,up to 53 centimeters (21 inches),,,,"Bigeye tuna, sickle pomfret.",Fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Whale Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon Typus,,,,,,,,,Warm coastal waters and open ocean,Carnivore,12,Solitary,,,,The largest species of fish in the world!,,BrownGreyBlue,Smooth,10 mph,60-70 years,"13,607-18,144kg (15-20tons)",,,,,"Human, Sharks, Killer Whale",Fish,,,,,,,,"Krill, Plankton, Crab, Fish",,,,Krill,,,,,,1,0,0
Zebra Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Orectolobiformes,Stegostomatidae,Stegostoma,Stegostoma Fasciatum,,,,,,,,,"Tropical, coastal waters",Omnivore,10,,,,,Can get to be 30 years old in the wild!,,BrownGreyYellowBlackWhite,Smooth,,15 - 20 years,16kg - 20kg (35lbs - 44lbs),,,,,"Large Sharks, Humans",Salt,,,,,,,,"Fish, Crabs, Snails",,,,Fish,,,7.8 - 8.4,,,1,0,0
Spiny Dogfish,['Ocean'],Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias,"Octopuses, crabs, squid, smaller sharks, jellyfish, shrimp, and sea cucumber",,Pack,"Biomass of 106.8 thousand metric tons in the Atlantic Ocean; 44,660,000 fish in the Pacific Ocean",Overfishing,,"Dogfish Shark, Spiky Dog, Piked Dogfish, Rock Salmon, Spring Dogfish, White-Spotted Dogfish Predators: Sharks, Seals, Orcas, Tuna, American Anglerfish, Humans",,Oceans and seas,Carnivore,,,Spiny Dogfish,2.0,,Found in ocean waters worldwide!,,BrownGreyBlackWhite,Smooth,,"Average of 20 to 24 years, but can live up to 50 years",8 pounds,Maximum length of 39 inches (male); maximum length of 49 inches (female),,,,"Sharks, Whales, Humans",,,,,,6.0,,,"Fish, Squid, Crustaceans",Salt,,,"Octopuses, crabs, squid, smaller sharks, jellyfish, shrimp, and sea cucumber",,,6.5-8.5,,,1,0,0
Giant African Land Snail,['Africa'],Animalia,Mollusca,Gastropoda,Achatinoidea,Achatinidae,Achatina,Achatina fulica,,,,,,,,,Humid forest areas,Herbivore,200,Solitary,,,,The biggest snail species on land!,,BrownYellowRed,Hard Outer Shell,0.002 mph,3-10 years,250-450g (8.8-15.9oz),,,,,"Wild Cats, Birds, Humans",Mollusc,,,,,,,,"Leaves, Vegetables, Fruit, Flowers",,,,Leaves,,,,,,0,0,1
Nudibranch,['Ocean'],Animalia,Mollusca,Gastropoda,Nudibranchia,,,Nudibranchia,"Other nudibranches or sea slugs, coral, anemones, sponges, hydrozoans, planktonic invertebrates, sea butterflies, or other sea creatures depending on the species",,Solitary,unknown,None,Bright colors and various forms,Sea slug,5-50 days depending on the species,"Saltwater, brackish water",Carnivore,,,Sea slug,,,,,YellowRedBlueGreenPurplePink,Smooth,-2.8 mph,,,,,,,"Other nudibranchs, turtles, some crabs, humans",Mollusk,,,,,,,,,Salt,,,,,,,,,1,0,0
Sea Slug,['Ocean'],Animalia,Mollusca,Gastropoda,Nudibranchia,Opistobranches,Nudibranch,Nudibranchia,,,Solitary,Unknown,Water pollution,Colorful patterns,"Pteropods, gastropod mollusks",5-50 days,Shallow and deep areas of oceans,Herbivore,,,Sea Slug,,,,,YellowRedBlueBlackWhiteGreenOrangePurple,Smooth,0.2 mph,1-4 years,Up to 3.3lbs,1/8 to 12 inches,,,," Fish, lobsters, crabs, humans",Herbivore,,,,,500.0,,,"Plankton, plant matter, jelly fish",Salt,,,Algae,,,7.5-8.4,,,1,0,0
Snail,"['Africa', 'Antarctica', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Mollusca,Gastropoda,Achatinoidea,,,Achatinoidea,,,,,,,,,Well-vegetated areas,Herbivore,200,,Snail,1000.0,Worldwide,"There are nearly 1,000 different species!",,YellowTan,Shell,,,0.01kg - 18kg (0.02lbs - 40lbs),0.5cm - 80cm (0.2in - 32in),,,,"Rodents, Frogs, Birds",,,"Armoured shell with long, thin eye stems",,,,,,"Leaves, Fruits, Stems",,,,Leaves,,,,,,1,0,0
Slug,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Mollusca,Gastropoda,,,,,"worms, snails, carrion",,,,,,Land slug,3-6 months,"gardens, foliage, wood and debris",Omnivore,,,Slug,,Worldwide,,,BrownGreyBlackGreen,Smooth,0.19 mph,2 years,,0.5-5 inches,1 year,,500 per year,"birds, reptiles, insects",gastropod,,,,,,,,,,,,,,,,,,1,0,0
Freshwater Jellyfish,"['Africa', 'Asia', 'Central-America', 'Europe', 'North-America', 'South-America']",Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbyi,Zooplankton,,Colony,Millions,None,Its resistance to drought,Peach blossom jellyfish,days to months,,Omnivore,,,freshwater jellyfishh,1.0,,,,WhiteGreen,,4.6 mph,1-2 years,0.11 to 0.18 ounces,0.196 to 1 inch,,,,,,,,,,,,,,,,,,,,,,,1,0,0
Immortal Jellyfish,['Ocean'],Animalia,Cnidaria,Hydrozoa,Anthoathecata,Oceaniidae,Turritopsis,Turritopsis dohrnii,Tiny sea creatures,,Colony,Unknown,Predation,Regeneration ability,The Benjamin Button jellyfish,2-3 days,Temperate to tropical saltwater worldwide,Omnivore,,,"Immortal jellyfish, Benjamin Button jellyfish",1.0,,,,,Smooth,4.97 mph,Immortal,,0.18inches,,,,"Larger jellyfish, sea anemones, tuna, sharks, swordfish, sea turtles, penguins",Medusuzoa,,,,,,,,,Salt,,,"Plankton, fish eggs, larvae, brine shrimp",,,,,,1,0,0
Man of War Jellyfish,['Ocean'],Animalia,Cnidaria,Hydrozoa,Siphonophorae,Physaliidae,Physalia,Physalia physalis,"Small fish, shrimp, plankton",,Legion,unknown,predators and climate change,"floating balloon-like, air-filled bladder","man o'war, bluebottle, blue bottle jellyfish",,tropical and sub-tropical oceans,Carnivore,,,Man of war jellyfish,1.0,,,,BluePurplePink,Skin,,,,30ft - 165ft,,,,"loggerhead sea turtle, blue sea slug, violet sea snail",siphonophore,,,,,,,,,Salt,,,,,,,,,1,0,0
Christmas Island Red Crab,"['Ocean', 'Oceania']",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinidae,Gecarcoidea,Gecarcoidea natalis,African land snail,"Larva, Megalopa",Solitary,About 44 million,"roadways, yellow crazy ant",Its brilliant red carapace,"Red crab, red land crab",Females brood eggs for a couple of weeks before releasing them into the sea.,rainforest,Omnivore,,,"Christmas Island red crab, red land crab",1.0,Indian Ocean islands of Christmas Island and Cocos Island,,swarm,RedOrange,Shell,,20-30 years,17 ounces,"Carapace 4.6 inches wide, males larger than females",4-5 years,,"up to 100,000","Fish, coconut crabs, whale sharks, manta rays and other filter feeders as well as the yellow crazy ant",crustacean,,,,,,,,,,,,,,,,,mature crabs molt once a year,1,0,0
Crab,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,,Brachyura,,,,,,,,,Coral reefs and coastline,Carnivore,2,Solitary,,,,There are 93 different crab groups,,BrownRedBlueOrange,Shell,12 mph,1 - 100 years,"100g - 2,000g (3.5oz - 704oz)",1cm - 400cm (0.4in - 157in),,,,,Arthropod,,"Hard, armoured shell and eight legs",,,,,,"Shrimp, Fish, Mussels",,,,Shrimp,,,,,,1,0,0
Fiddler Crab,"['Africa', 'Asia', 'Central-America', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,,,"Dead, decaying plants and animals, bacteria, algae, and fungus",,Colony,,Habitat loss,Enlarged claw on the male,,2 weeks,Sandy beaches and salt or brackish water,Omnivore,,,"Fiddler crab, Calling crab",106.0,,,,BrownGreyYellowBlueBlackPurple,Exoskeleton,,1 1/2 years,1.8 grams,"2"" or less",,,,"Egrets, herons, raccoons",Crustacean,,,,,,,,,Brackish,,,,,,7.2 to 8.2,,,1,0,0
Ghost Crab,['Ocean'],Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,,,"Baby turtles, mole crabs and other small arthropods, mollusks, insects",,Solitary,"Hundreds of thousands, at least.","Habitat destruction, climate change, pollution",Its eyestalks,"Sand crab, the Fleet-footed One of White",,,Omnivore,,,Ghost crab,21.0,,,,YellowCreamSandy,Shell,10 mph,Three years,0.53 – 2.5 ounces,"2 to 3 inches, males larger than females",,,,,Crustacean,,,,,,,,,,,,,,,,,,1,0,0
Hermit Crab,['Ocean'],Animalia,Arthropoda,Malacostraca,Decapoda,Paguroidea,,Paguroidea,,,,,,,,,Coastal waters,Omnivore,200,,Hermit Crab,500.0,Worldwide,There are over 500 different species!,,BrownYellowRedBlueWhiteGreenOrangePink,Shell,,,200-500g (7-18oz),,,,,"Fish, Sharks, Cuttlefish",,,,,,,,,"Fish, Worms, Plankton",,,,Fish,,,,,,1,0,0
Horseshoe Crab,"['Asia', 'Central-America', 'Eurasia', 'North-America', 'Ocean']",Animalia,Arthropoda,Malacostraca,Xiphosurida,Limulidae,,,"Worms, algae, small invertebrates, detritus",,Largely solitary,2.3 to 4.5 million just on the Atlantic coast,"Pollution, over-harvesting, habitat destruction",Their horseshoe-shaped shell,"helmet crab, horsefoot, saucepan, king crab",Two weeks,"Shallow water off the coast, beaches",Omnivore,"90,000",,Horseshoe Crab,4.0,Worldwide,Changed little in over 500 million years!,,BrownGreyTanGreen,Shell,,Over 30 years,As much as 9 pounds in the tri-spine horseshoe crab; males of all species smaller,"As long as 31.25 inches in the female tri-spine horseshoe crab, other species are smaller",,,,"Shorebirds who eat the eggs, sea turtles, fish",Arthropod,,,,,,,,,Salt,,,,,,,,,1,0,0
Jonah Crab,['North-America'],Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer borealis,"Mussels (especially blue mussels), arthropods, snails, and certain species of algae",,Solitary,Unknown,Unknown,Light spots and black-tipped claws,White leggers,9-14 days,"Rock, clay, sand, mud",Carnivore,,,Jonah crab,1.0,,,,,Shell,,1-5 years,12-19oz,,,,,"Seagulls, otters, alligators, sharks, rays, and bony fish, and humans",Crustacean,,Spotted color,,,,,,,Salt,,,,,,,,,1,0,0
King Crab,['Ocean'],Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Lopholithodes,Lopholithodes Mandtii,,,,,,,,,Cold coastal waters and continental shelves,Carnivore,7,Solitary,,,,Can have a leg span of nearly 2 meters!,,RedBlueOrange,Shell,7 mph,15-30 years,2-8kg (4.4-18lbs),,,,,"Human, Larger Fish, Octopus",Crustacean,,,,,,,,"Molluscs, Fish, Sea Urchin",,,,Molluscs,,,,,,1,0,0
Rock Crab,['Ocean'],Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer productus,,,Solitary,,Predators and commercial fishing.,large brown-black claws with lighter-colored tips,,6-8 weeks,"Near rocks, tide pools, and rocky marine areas.",Omnivore,,,red rock crab,1.0,,,,Red,Shell,,Up to 8 years,Approximately 13 ounces,,,,,"Sand and kelp bass, other fish, seabirds, and sea otters.",Decapod,Approximately 4 inches,,,,,,,,,,,"Worms, clams, mussels, other crabs, other invertebrates, and algae.",,,,,,1,0,0
Sand Crab,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Malacostraca,Decapoda,,,,Plankton and dinoflagellates,Larvae,Solitary,Unknown,Habitat loss,The heavy armored shell,Mole crab and sand flea,3-4 months,Beaches and dunes,Omnivore,,,Sand Crab,,Worldwide,,,BrownGrey,Exoskeleton,,2-3 years,Less than 1kg (2lbs),2-5cm (0.75-2in),1-2 years,,"Up to 45,000 eggs",Fishes and birds,Crustacean,,,,,,,,,,,,,,,,,,1,0,0
Sea Roach,"['Europe', 'North-America']",Animalia,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,Ligia exotica,,Baby sea roach or juvenile,Solitary,Unknown,Water pollution,Segmented shell,"Sea slater, wharf roach",28 days,"Around waterlines under rocks, near piers",Omnivore,,,Sea roach,,"Coasts of Ireland, England, United States",,,Grey,Shell,,2.5 years,Less than one ounce,1 inch,1 year,At birth,Average of 80,"Fish, birds",Insect,,,,,,,,,Salt,,,"Decaying vegetation, dead fish",,,,,,1,0,0
Snow Crab,['Ocean'],Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,C. opilio,"Fish, shrimp, smaller crabs, clams",,Group,Unknown,Ocean warming,,"Opie, opilio crab",Up to two years,,Carnivore,,,Snow crab,,,,,,Hard Shell,,,5 - 7 pounds,3.7 - 6.5 inches,,,,"Humans, squid, seals, halibut",Crustacean,,,,,,,,,,,"Up to 100,000 eggs",,,,,,,1,0,0
Stone Crab,['Ocean'],Animalia,Arthropoda,Malacostraca,Decapoda,Menippidae,Menippe,,"Mollusk, oysters",,,Unknown,,Two uneven but oversized claws,Florida stone crab,Up to two weeks,Waters off the Florida coast,Carnivore,,,,2.0,,,,BrownGreyRedTan,Exoskeleton,,Males: 7 years Females: 8 years,,Between 5½ to 6 inches at the carapace (the widest part of the crab),,,,"Octopi, sea turtles",,,,,,,,,,Salt,,,,,,,,,1,0,0
Yeti Crab,['Ocean'],Animalia,Arthropoda,Malacostraca,Decapoda,Kiwaidae,Kiwa,,Bacteria,,Colony,Unknown,,The white body and hairy claws,,,Pacific Ocean,Carnivore,,,Yeti Crab,4.0,,,,GreyWhite,Hard Shell,,,2lbs – 5lbs,15cm (6in),,,,Fish and octopuses,Crustacean,,,,,,,,,Salt,,,,,,,,,1,0,0
Woodlouse,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare,"Rotting leaves, mildew, fungus","Manca, juvenile",Social,,Pesticides,Armor-like shell,"Pill bug, roly-poly",8-12 weeks,"Grassland, woods, gardens, farms",Herbivore,,,Woodlouse,,Worldwide except Antarctica,,Social,BrownGreyBlack,Shell,,3-4 years,less than 1 gram,0.7mm - 18mm,1 year,,100+," Humans, centipedes, spiders, frogs, shrews",Crustacean,,,,,,,,,,,,,,,,,,0,0,1
Krill,['Ocean'],Animalia,Arthropoda,Malacostraca,Euphausiacea,,,Euphausiacea,Plankton,,Swarm,Trillions,Changing climate and habitat,The bioluminescent body,,A few days,Coastal and deep ocean regions,Omnivore,,,Krill,,,,,GreyBlue,Hard Outer Shell,,Up to six years,Less than an ounce,Up to 2.4 inches,,,,"Whales, seals, birds, fish, and humans",Crustacean,,,,,,,,,Salt,,,"Both plants and animals, depending on the species",,,,,,1,0,0
